职位,薪水,关键词,工作经验,学历,公司地址,公司,公司情况
平面设计、广告宣传推广,5000-7000元,"视觉设计
新媒体广告设计
视频广告设计",3-5年,大专,天津·滨海新区·塘沽,天津简苑文化传播有限公司,"20-99人
         
          会议/展览"
平面设计,6000-8000元,"视觉设计
媒体广告设计
新媒体广告设计
印刷广告设计
网络广告设计
户外广告设计
视频广告设计
网页设计
平面设计
美工
设计师",3-5年,大专,天津·西青·张家窝,天津利南文化产业有限公司,"民营
         
          500-999人
         
          房地产开发"
广告设计,4000-8000元,"平面设计
活动设计
KV
主视觉
C4D
建模
排版
logo
PS
AI",1-3年,大专,天津·西青·张家窝,天津汇众天一广告有限公司,"民营
         
          20-99人
         
          广告/营销"
广告接单美工,5000-7000元,"平面设计
美工
设计师助理
PS
CorelDRAW
AI
全职",3-5年,中专/中技,天津·北辰·天穆,天津博涛广告有限公司,"民营
         
          20-99人
         
          广告/营销"
广告设计,4000-6000元,"印刷广告设计
户外广告设计
平面设计
设计师
PS
CorelDRAW
AI
全职",1-3年,学历不限,天津·天穆,天津市神州鸿波广告有限公司,"民营
         
          20-99人
         
          广告/营销"
广告平面设计,4000-7000元,"平面设计
视觉设计
延展设计
户外广告设计
PS
AI
CorelDRAW
全职",3-5年,大专,天津·北辰·天穆,天津博涛广告有限公司,"民营
         
          20-99人
         
          广告/营销"
广告平面设计师,5000-7000元,"平面设计
设计师
全职
PS",1-3年,大专,天津·河北·新开河,天津漫科建设工程有限公司,"民营
         
          20-99人
         
          装饰装修"
广告设计师,5000-10000元,"视觉设计
户外广告设计
印刷广告设计",1-3年,大专,天津·南开·万兴,天津佳晟企业管理咨询有限公司,"民营
         
          20-99人
         
          广告/营销"
图文广告平面设计师、工厂设计深化分解,4000-7000元,"平面设计
设计师
延展设计
CorelDRAW
PS
Sketchup
AI
3D MAX",1-3年,学历不限,天津·北辰·天穆,天津博涛广告有限公司,"民营
         
          20-99人
         
          广告/营销"
广告平面设计,4000-6000元,平面设计,1-3年,学历不限,天津·武清·运河西,天津市武清区忠意广告中心,"民营
         
          20-99人
         
          广告/营销"
广告视频设计师,3000-6000元,,1年以下,学历不限,天津·南开·万兴,天津市帝翼品牌设计有限公司,"100-299人
         
          广告/营销"
资深广告设计师,6000-12000元·13薪,"设计经理
AI
3D MAX
CorelDRAW
AE
全职兼职均可
视觉设计
户外广告设计
印刷广告设计",3-5年,本科,天津·滨海新区·杭州道,智赋创来科技(天津)有限公司,"股份制企业
         
          20-99人
         
          工业自动化"
应届广告设计实习生,4000-6000元,"视觉设计
延展设计
户外广告设计
媒体广告设计",无经验,大专,天津·东丽·华明,天津三诺机电安装工程有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
展示设计师,5000-7000元,"视觉设计
户外广告设计
景观设计
延展设计",3-5年,本科,天津·西青·李七庄,天津合盛创智公关策划有限公司,"民营
         
          20-99人
         
          广告/营销"
图文广告设计,5000-7000元,"包装设计
户外广告设计
印刷广告设计
视频广告设计",经验不限,本科,天津·滨海新区·新北,天津中迪广告传媒有限公司,"民营
         
          20-99人
         
          广告/营销"
应届毕业生3D设计,4000-6000元,"视觉设计
户外广告设计
媒体广告设计
新媒体广告设计",无经验,学历不限,天津·东丽·华明,天津三诺机电安装工程有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
