职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
医美电商平面设计专员,6000-8000元,,1-3年,大专,天津·河西·越秀路,天津华中医疗美容有限公司,"民营
         
          100-299人
         
          医美/健康服务"
平面设计,7000-8000元,平面设计,3-5年,大专,天津·西青·张家窝,慧医谷中医药科技(天津)股份有限公司,"民营
         
          100-299人
         
          医疗设备/器械"
平面设计师,4000-7000元,,经验不限,大专,天津·东丽·无瑕,天津运通世佳商贸有限公司,"民营
         
          300-499人
         
          零售/批发"
综合美工+双休+五险,5000-7000元,"AI
画册设计
美工
PS",1-3年,本科,天津·河北·光复道,天津峥嵘物业管理有限公司,"民营
         
          1000-9999人
         
          物业管理"
平面广告设计,1.2-1.8万,"AI
CDR
广告设计",1-3年,大专,天津·西青·中北,龙湖集团,"上市公司
         
          10000人以上
         
          房地产开发"
平面设计师,4000-6000元·13薪,"品牌设计
字体设计
宣传物料设计
插图设计",1-3年,本科,天津·滨海新区·寨上,华强方特(天津)文化科技有限公司,"股份制企业
         
          500-999人
         
          旅游服务"
平面设计师,6000-9000元,"视觉设计
包装设计
UI设计
品牌设计
VI设计
PS
AI
中国风格",3-5年,本科,天津·西青·大寺,天津宝轩耳朵眼食品有限公司,"民营
         
          300-499人
         
          农副产品加工制造"
平面设计,6000-7000元,平面设计,1-3年,大专,天津·西青,天津耳朵眼餐饮管理有限公司,"民营
         
          1000-9999人
         
          餐饮服务"
平面设计师,7000-10000元,"PS
CDR
VI设计
广告设计
包装设计",3-5年,大专,天津·静海·团泊,中津基业(天津)房地产开发有限公司,"外商独资
         
          20-99人
         
          房地产开发"
设计师（工作地点：天津）,6000-9000元,广告设计,3-5年,本科,天津·东丽·金桥,天津市银博印刷集团有限公司,"民营
         
          100-299人
         
          印刷/包装/造纸"
广告设计师,6000-10000元,"PS
AI
3D MAX
广告设计
方案设计",3-5年,本科,天津·东丽·华明,天津市纸典文化传媒有限公司,"20-99人
         
          文化艺术/娱乐"
平面设计,5000-6000元,"电商设计
标识导视设计
PS
CDR",1-3年,大专,天津·武清·杨村,天津炬目医疗管理有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
ppt设计师,2600-3000元,"设计师
兼职",经验不限,学历不限,天津·西青·李七庄,北京猫群信息咨询有限责任公司,"民营
         
          20-99人
         
          企业服务"
设计,4000-6000元,"VI设计
广告设计
包装设计
PS
AI
视觉设计
舞美设计
品牌设计",1-3年,本科,天津·南开·学府,道正声远(天津)网络信息科技有限公司,"其它
         
          20-99人
         
          互联网"
平面设计师,6000-8000元,"VI设计
广告设计
PS
AI
排版设计",3-5年,本科,天津·津南·双港,天津市乐乐市场管理有限公司,"民营
         
          100-299人
         
          物业管理"
电商视觉设计实习生,100-120元/天,PS,无经验,本科,天津·南开·王顶堤,北京融创控股集团有限公司,"股份制企业
         
          10000人以上
         
          房地产开发"
平面设计师（微博主题装扮）,5000-10000元,"排版设计
UI设计
VI设计
PS
手绘板
Q版",1-3年,本科,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
设计师,6000-12000元,包装设计,1-3年,大专,天津·宝坻·朝霞,大工纸制品包装(北京)有限公司,"民营
         
          20-99人
         
          印刷/包装/造纸"
影视平面设计助理,5000-9000元,"VI设计
广告设计
UI设计",经验不限,学历不限,天津·和平·五大道,北京海润星空传媒有限公司,"20-99人
         
          新媒体"
平面设计（主题界面）,5000-8000元,"排版设计
UI设计
VI设计
PS",1-3年,本科,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
女装电商平面设计师,5000-6000元,"PS
AI",1-3年,大专,天津·和平·小白楼,天津市路可服饰有限公司,"民营
         
          100-299人
         
          纺织业/服饰产品加工制造"
平面设计（残疾人岗位）,3000-4000元,"视觉设计
延展设计
图案设计
品牌设计
PS
全职",经验不限,大专,天津·南开·向阳路,天津西青区创美信息技术有限公司,"民营
         
          20人以下
         
          网络/信息安全"
平面设计师,5000-8000元,"PS
手绘板
排版设计",3-5年,学历不限,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
品牌视觉传达（偏运营方向）,6000-9000元,"PS
AI
CDR",1-3年,本科,天津·河西·陈塘庄,兴亿仲天(天津)食品科技集团有限公司,"民营
         
          300-499人
         
          食品/饮料"
平面设计,6000-10000元,"画册设计
房地产平面设计
品牌设计",3-5年,本科,天津·西青·精武镇,卓尔发展(天津)有限公司,"外商独资
         
          1000-9999人
         
          房地产开发"
文创设计师实习生,160-180元/天,"文创
绘画
手绘
动画",无经验,本科,天津·南开·长虹,南京仪岱安慷文化科技产业发展有限公司天津分公司,"外商独资
         
          20-99人
         
          计算机软件"
视觉设计师,6000-7000元,"PS
AI
视觉设计
设计师",1-3年,大专,天津·南开·体育中心,天津紫御企业管理服务有限公司,"民营
         
          20-99人
         
          居民服务"
平面设计助理,4000-8000元,"包装设计
广告设计
排版设计
PS
AI
不需要短期工",经验不限,本科,天津·西青·西营门,武汉大佳锋范企业形象策划有限公司,"民营
         
          20-99人
         
          文化艺术/娱乐"
设计师,7000-10000元,"PS
VI设计
包装设计",3-5年,本科,天津·武清·南蔡村,维朗妮卡(天津)食品科技有限公司,"民营
         
          100-299人
         
          食品/饮料"
平面设计岗,5000-7000元,排版设计,1-3年,大专,天津·东丽·无瑕,天津运通世佳商贸有限公司,"民营
         
          300-499人
         
          零售/批发"
平面设计,4000-8000元,"大型活动设计
KV
会议活动
PS
AI
C4D
广告设计",5-10年,大专,天津·西青·张家窝,天津汇众天一广告有限公司,"民营
         
          20-99人
         
          广告/营销"
平面设计师（手机美化方向）,5000-8000元,"排版设计
PS
AI",经验不限,本科,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
平面设计美工,4000-7000元,"PS
AI",1-3年,大专,天津·东丽·无瑕,天津运通世佳商贸有限公司,"民营
         
          300-499人
         
          零售/批发"
广告平面设计,4000-8000元,"大型活动设计
KV
会议活动
PS
AI
C4D
广告设计",5-10年,大专,天津·西青·张家窝,天津汇众天一广告有限公司,"民营
         
          20-99人
         
          广告/营销"
主题设计师,7000-10000元,"排版设计
PS",3-5年,本科,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
平面设计专员,6000-7000元,"VI设计
广告设计
方案设计
AI
PS
C4D",3-5年,本科,天津·河西,天津天明教育科技有限公司,"学校/下级学院
         
          20-99人
         
          学校/学历教育"
平面设计,6000-8000元,"方案设计
排版设计
PS",1-3年,大专,天津·宁河·造甲城,嘉顺达蓝海(天津)物流有限公司,"合资
         
          100-299人
         
          货运/物流/仓储"
平面设计师,6000-8000元,"方案设计
电商设计",1-3年,大专,天津·武清·梅厂,台铃科技股份有限公司,"民营
         
          1000-9999人
         
          新能源"
美工平面设计,5000-6000元,"包装设计
PS
AI
CDR
美工",3-5年,学历不限,天津·武清·东蒲洼,亚太华德(天津)新材料科技有限公司,"民营
         
          20-99人
         
          贸易/进出口"
平面设计,5000-6000元,"PS
AI
CDR
广告设计",1-3年,大专,天津·津南·葛沽,天津核生,"民营
         
          100-299人
         
          生物工程"
设计兼职20/h,3000-5000元,"平面设计
品牌设计
广告设计
包装设计
PS
AI",经验不限,大专,天津·和平·五大道,天津晟鑫达信息技术有限公司,"民营
         
          20-99人
         
          互联网"
平面设计,5000-8000元,,1-3年,大专,天津·西青·精武镇,世韩(天津)节能环保科技有限公司,"民营
         
          100-299人
         
          环保"
资深平面设计师,5000-7000元,"广告设计
方案设计",1-3年,本科,天津·河西·陈塘庄,石家庄市星河广告有限公司,"民营
         
          20-99人
         
          广告/营销"
平面设计岗,3000-5000元,"包装设计
排版设计",1年以下,大专,天津·东丽·无瑕,天津运通世佳商贸有限公司,"民营
         
          300-499人
         
          零售/批发"
平面设计,4000-6000元,"标识导视设计
广告设计
PS
AI
ID
包装设计",1-3年,大专,天津·和平·南市,天津禧悦汇酒店管理有限公司,"民营
         
          100-299人
         
          酒店/民宿"
餐饮设计师,8000-15000元,"方案设计
VI设计
包装设计
手绘板",经验不限,大专,天津·红桥·西于庄,天津小谷顿餐饮管理服务有限公司,"民营
         
          20-99人
         
          餐饮服务"
平面设计人员,6000-8000元,"PS
CAD
AI",经验不限,大专,天津·宁河·造甲城,碧昇(天津)包装科技有限公司,"民营
         
          20-99人
         
          印刷/包装/造纸"
商业平面设计岗,6000-10000元,平面设计,1-3年,本科,天津·河西,天津政昕资产运营管理有限公司,"20-99人
         
          房地产开发"
文创设计师（天津）,6000-8000元,"PS
AI
CAD
包装设计",1-3年,本科,天津·河东·春华,《留学》杂志社有限责任公司,"其它
         
          20-99人
         
          新闻/出版"
平面设计,4000-6000元·13薪,"广告设计
包装设计
电商设计",1-3年,本科,天津·津南·双港,天津森玺食品发展有限公司,"民营
         
          100-299人
         
          电子商务"
ppt美化工程师,6000-8000元,PS,1-3年,大专,天津·南开·嘉陵道,天津平云电力科技有限公司,"民营
         
          100-299人
         
          电力/水利/热力/燃气"
