职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
安全员-工作地在合肥,6000-8000元,房建工程,3-5年,大专,合肥·蜀山·南岗,上海誉劲建筑工程有限公司,"20-99人
         
          工程施工"
财务助理,4000-5000元,财务分析,1-3年,本科,天津·东丽·万新,天津梦美商贸有限公司,"20-99人
         
          广告/营销"
六险一金/朝九晚六/周末双休/不加班,面议,,1-3年,大专,哈尔滨·松北·松北街道,中国平安,"上市公司
         
          10000人以上
         
          银行"
生管专员/物控/文员,8000-10000元,生产物料管理,1-3年,高中,厦门·集美·杏滨,厦门科加智能科技有限公司,"20-99人
         
          金属制品业"
送一家零食/保底10000/无超时罚款/区域集中+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,家附近3公里配送,经验不限,学历不限,佛山·禅城·石湾镇,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
招商选址专员,6000-12000元,,经验不限,大专,重庆·渝北,重庆商伙伴网络科技有限公司,"民营
         
          300-499人
         
          互联网"
cnc编程调试工程师,7000-11000元·13薪,广数,5-10年,大专,无锡·新吴·梅村,无锡市佩恩自动化有限公司,"其它
         
          100-299人
         
          电气机械/电力设备"
【律所直招】线上市场主管,9000-14000元,电销,1-3年,大专,成都·锦江·锦官驿,四川嘉冠律师事务所,"律师事务所
         
          20-99人
         
          法律服务"
接送乘客小车司机,8000-12000元,行政司机,经验不限,学历不限,成都·金堂·赵镇,四川智行易达运力科技有限公司,"其它
         
          100-299人
         
          客运服务"
固定一家仓库买菜配送员+可兼职日结可全职,1-1.2万·13薪,家附近3公里配送,经验不限,学历不限,郑州·中原·棉纺路,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
高级UI设计师、平面设计,8000-10000元,交互设计,1-3年,大专,深圳·龙华·民治,深圳龙霸网络技术有限公司,"民营
         
          100-299人
         
          互联网"
OEM代加工客户经理,5000-10000元,电话销售,1-3年,学历不限,郑州·金水·祭城路,安徽徽百堂健康产业有限公司,"300-499人
         
          食品/饮料"
驻店配送300一天/免费车/急招可预支+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,家附近3公里配送,经验不限,学历不限,珠海·香洲区·凤山街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
销售助理,5000-7000元,销售,经验不限,大专,广州·天河·石牌,广州移艾缇信息科技有限公司,"股份制企业
         
          20-99人
         
          IT服务"
王者游戏陪陪 日结,5000-10000元,手游,经验不限,学历不限,广州·番禺·南村,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
【智数生物】-生物信息工程师（大项目）,1-2万,微生物工程,经验不限,硕士,三亚·崖州区,智联猎头,"其它
         
          1000-9999人
         
          互联网"
网络安全运营运维工程师,8000-12000元,,3-5年,大专,郑州·新郑·新港,广东国腾量子科技有限公司,"民营
         
          20-99人
         
          通信/网络设备"
安卓原生开发,8000-14000元,Android Studio,3-5年,本科,重庆·沙坪坝·西永,重庆重智机器人研究院有限公司,"其它
         
          20-99人
         
          人工智能"
（上1休1）成都地铁安检员/巡检员,4000-7000元,包吃包住,经验不限,中专/中技,成都·金牛·荷花池,四川新航线人力资源开发有限公司,"民营
         
          20-99人
         
          咨询服务"
病理/液基销售经理（东三省）辽宁沈阳,6000-10000元,病理液基  IVD,3-5年,大专,沈阳·铁西·兴华,珠海市丽拓生物科技股份有限公司,"民营
         
          500-999人
         
          医疗设备/器械"
空余时间就来做兼职日结多一份收入可做短期人走账清/+可兼职日结可全职/+骑手/超市驻店/外卖配送员/送餐员,300-500元/天,家附近3公里配送,经验不限,学历不限,深圳·龙岗·沙头,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
9-12K，韩国潮牌，做五休二，五险一金,9000-12000元,女装店,1-3年,中专/中技,青岛·市南·香港中路,外企德科人力资源服务(福建)有限公司,"国企
         
          300-499人
         
          人力资源服务"
衢州大厂月入7000+不穿连体服+日结+豪华宿舍,5000-6000元,恒温车间,经验不限,学历不限,衢州·柯城区·石室乡,众腾人力资源集团有限公司,"上市公司
         
          1000-9999人
         
          人力资源服务"
法语翻译助理,3000-5000元,,无经验,大专,太原·万柏林·长风西街,山西富进建设有限公司,"其它
         
          20-99人
         
          工程施工"
招商专员,8000-10000元,,1-3年,本科,海口·龙华·金贸,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
交通事故案件业务员,4000-5000元,五险一金,经验不限,大专,沈阳·皇姑,金慧科技,"上市公司
         
          10000人以上
         
          互联网"
建筑工程经理,1.5-2万,土建工程,5-10年,本科,深圳·宝安·西乡,深圳旭生实业集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
晚上兼职7点-12点下班结算可兼职日结可全职/+骑手/超市驻店/外卖配送员/送餐员,300-500元/天,家附近3公里配送,经验不限,学历不限,广州·白云·永平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
钟村急招办公室销售/无责底薪/不加班,9000-12000元,面销/陌拜,经验不限,学历不限,广州·番禺·钟村,广州鲜链速送配送服务有限公司,"300-499人
         
          货运/物流/仓储"
乐道汽车-城市负责人,1.2-1.6万,面销/陌拜,5-10年,大专,潜江市·园林街道,上海蔚来汽车有限公司,"上市公司
         
          10000人以上
         
          新能源汽车"
美团骑手急招日结周结任选单多价高就近赚钱,9000-10000元,餐饮外卖,经验不限,学历不限,济南·历城·唐冶,济南优外卖电子商务有限公司,"民营
         
          10000人以上
         
          餐饮服务"
图书登记员 可实习 6500/月 休息可看书,7000-8000元,图书整理,经验不限,学历不限,重庆·两江新区,重庆汇尤达人力资源服务有限公司,"300-499人
         
          在线招聘/求职"
就近安排门店+咖啡师长期兼职（会拉花）,5000-6000元,咖啡店,1年以下,高中,深圳·南山·粤海,江西辰鸿人力资源有限公司,"100-299人
         
          人力资源服务"
美团外卖时间自由/提供车住/可预支工资,9000-10000元,餐饮外卖,经验不限,学历不限,济南·历城·王舍人,济南优外卖电子商务有限公司,"民营
         
          10000人以上
         
          餐饮服务"
急聘一位销售运营总监8k+高提成,8000-13000元,总监,3-5年,大专,北京·东城·崇文门外,北京企创未来金融服务外包有限公司,"民营
         
          100-299人
         
          咨询服务"
运营经理（养老/适老化/居家）,7000-9000元,PMP,经验不限,大专,重庆·渝北,八宇健康科技集团有限公司,"民营
         
          100-299人
         
          互联网"
外卖骑手就近安排0元入职,9000-10000元,公司提供电动车/摩托车,经验不限,学历不限,济南·历城·唐冶,济南优外卖电子商务有限公司,"民营
         
          10000人以上
         
          餐饮服务"
高薪商务媒介/包三餐/商务开屏广告/媒介全流程岗/早10晚7/周末双休,1-1.3万,4A公司经验,1-3年,大专,北京·朝阳·六里屯,位来小猎(宁波)信息技术有限公司,"合资
         
          500-999人
         
          计算机软件"
短期长期都要，日结300起，配车包住，订单稳定+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,300-500元/天,家附近3公里配送,经验不限,学历不限,东莞·万江·万江街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
小学科学教师,9000-10000元,科学课,经验不限,本科,成都·青羊·少城,职联千业(四川)人力资源服务有限公司,"100-299人
         
          人力资源服务"
BMC测试,1.5-3万·16薪,EMC测试,5-10年,本科,郑州·金水·祭城路,超聚变数字技术有限公司,"股份制企业
         
          1000-9999人
         
          计算机硬件"
医疗器械销售代表（黑龙江）,1.5-2万,外科,3-5年,大专,哈尔滨·南岗·芦家,吉林省浩泉博源商贸有限公司,"20人以下
         
          零售/批发"
软件开发岗-接受无经验,1.3-2.6万·14薪,Spring,经验不限,本科,杭州·滨江·长河,外企德科数字技术有限公司,"合资
         
          10000人以上
         
          专业技术服务"
公司直招送餐员 0元入职 提供车辆住宿 可预支,9000-10000元,公司提供电动车/摩托车,无经验,学历不限,石家庄·长安·中山东路,北京乐信韵达货运代理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
日结非流水线+管吃管住6000+,6000-7000元,包住,经验不限,学历不限,烟台·福山·福莱山,众腾人力资源集团有限公司,"上市公司
         
          500-999人
         
          人力资源服务"
中级前端开发工程师（急招）,9000-16000元·14薪,燃气+水务行业,3-5年,本科,杭州·余杭·良渚,威星智能,"上市公司
         
          500-999人
         
          仪器仪表制造"
岚图汽车交付专家/五险一金/可就近分配,1-1.8万,电话销售,经验不限,大专,乌鲁木齐·水磨沟区·南湖北路街道,江苏超信外包服务有限公司,"民营
         
          1000-9999人
         
          人力资源服务"
国际货运代理销售专员,8000-15000元,,无经验,高中,上海·静安·天目西路,北京欧亚捷运国际货运代理有限责任公司,"民营
         
          20-99人
         
          客运服务"
物业综合维修+做二休一,4000-6000元,配电设备,1年以下,高中,宿迁·宿豫区·顺河街道,上海辅佐供应链有限公司,"民营
         
          500-999人
         
          人力资源服务"
六险一金/朝九晚六/周末双休/不加班,面议,,1-3年,大专,无锡·宜兴·宜城,中国平安,"上市公司
         
          10000人以上
         
          银行"
急招5人日结330/送仓库物品/当天入职上岗+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,家附近3公里配送,经验不限,学历不限,佛山·南海·狮山,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
K12教育装备城市经理（驻地办公）,8000-13000元,面销/陌拜,3-5年,大专,重庆·南岸·南坪,河北普兰特生物科技有限公司,"民营
         
          100-299人
         
          学术/科研"
招几个爱玩游戏的,100-200元/天,端游,经验不限,学历不限,长沙·芙蓉·马王堆,沈阳睿达网络游戏信息有限公司,"20人以下
         
          游戏"
采购专员,4000-5000元,商务采购,3-5年,大专,徐州·邳州市·戴圩街道,江苏华兴激光科技有限公司,"民营
         
          100-299人
         
          电子/半导体/集成电路"
服装仓库临时工每天下班发米/28-32块一个钟包吃住,280-320元/天,分拣工,经验不限,学历不限,广州·天河·龙洞,广州铁网智慧科技有限公司,"民营
         
          300-499人
         
          政府/公共事业"
机场往返专线司机,8000-12000元,行政司机,经验不限,学历不限,成都·简阳·简城,四川智行易达运力科技有限公司,"其它
         
          100-299人
         
          客运服务"
美团外卖骑手暖冬福利已上线额外发放13000现金,9000-12000元,公司提供电动车/摩托车,经验不限,学历不限,南京·秦淮·洪武路,常州行知云商食品有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
急招普工/操作工 五险一金 有餐补,5000-6000元,恒温车间,1-3年,高中,杭州·钱塘·下沙,东富龙科技集团股份有限公司,"上市公司
         
          1000-9999人
         
          专用设备制造"
自控工程师,1.4-1.6万·15薪,设计,3-5年,本科,南京·栖霞·栖霞街道,南京天加能源科技有限公司,"民营
         
          100-299人
         
          新能源"
家门口外卖骑手就近入职6-8元/单,9000-12000元,公司提供电动车/摩托车,经验不限,学历不限,南京·秦淮·洪武路,常州行知云商食品有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
电商运营助理 图书期刊类目 五险一金,4000-5000元,产品运营,1年以下,大专,石家庄·鹿泉·上庄,石家庄牧狼人商贸有限公司,"民营
         
          100-299人
         
          电子商务"
车务机务负责人,1.1-2万·16薪,维修管理,3-5年,本科,成都·新都·斑竹园,京东集团,"合资
         
          10000人以上
         
          互联网"
诚聘普工/操作工-月入7000（包住）,6000-7000元,社会保险,经验不限,学历不限,威海·荣成市·崖头街道,威海市荣成市浦诚机械设备制造有限公司,"民营
         
          100-299人
         
          汽车零部件"
寒假工最后一批·长白班坐岗包吃住·月入7000+结清,6000-7000元,,经验不限,学历不限,西安·新城·西一路,淮安弘晟科技企业服务有限公司,"民营
         
          500-999人
         
          人力资源服务"
门店运营,1-2万·16薪,连锁店,3-5年,本科,青岛·市北·敦化路,京东集团,"合资
         
          10000人以上
         
          互联网"
会计助理,4000-5000元,会计从业资格证书,5-10年,大专,天津·滨海新区·新北,天津众添船务工程有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
高薪招聘送餐员就近安排福利多多,7000-9000元,会骑车,经验不限,学历不限,杭州·钱塘·白杨,湖北梓桓信息有限公司,"上市公司
         
          100-299人
         
          货运/物流/仓储"
济宁爱琴海必胜客兼职-J14463,2000-2500元,西餐厅,经验不限,学历不限,济宁·任城区·柳行街道,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
聊天打字员 日结（短期）,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
身无分文来送外卖有住宿配车,7000-8000元,美团,经验不限,学历不限,荆州·洪湖市·新堤街道,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
保底6000时间自由急招司机,6000-8000元,三年驾龄,3-5年,学历不限,深圳·龙岗·龙城,广州晨琪信息科技有限公司,"20-99人
         
          新能源汽车"
在家 打字日结（短期）,5000-10000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
上海辛巴克320/天 包吃住 急招10人,8000-10000元,理货员,经验不限,学历不限,上海·徐汇·漕河泾,上海远深物流管理有限公司,"上市公司
         
          500-999人
         
          搬家/生活配送"
六险一金/周末双休/早九晚六/不加班,面议,,1-3年,大专,上海·浦东·陆家嘴,中国平安,"上市公司
         
          10000人以上
         
          银行"
聊天打字员 （短期）日结,6000-12000元,,经验不限,学历不限,全国,成都萌拓文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
