职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
售后前台（保养接待）,7000-13000元,4S店售后,1-3年,大专,大连·甘井子·椒金山,大连嘉和润诚汽车销售服务有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
招聘HR实习生（26届）,120-130元/天,"社会招聘
简历筛选
面试邀约
招聘全流程",无经验,本科,广州·天河·新塘,广东三维家信息科技有限公司,"民营
         
          1000-9999人
         
          IT服务"
外卖越跑越帅，春暖花开季，兜风跑单,6000-7000元,"美团
饿了么
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,天门市·竟陵街道,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
固定门店配送/月入轻松过万/提供车住吃+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,珠海·斗门区·井岸镇,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
现场服务管理（双休）,7000-9000元,"投诉客服
现场客服",3-5年,大专,成都·温江·柳城,成都市帅博体育文化传播有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
骑手配送员无需经验能吃苦就来挑战,6000-7000元,"无驾照要求
餐饮外卖
会骑电动车",经验不限,学历不限,咸阳·秦都区·人民路街道,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
销售支持-V8176A,7000-9000元,"管理
CRM
TPM
CSMS
风险管控",经验不限,本科,无锡·梁溪·扬名,华润雪花,"国企
         
          10000人以上
         
          快速消费品"
盒马超市配送月入保底6500,1-1.1万,,经验不限,学历不限,西安·雁塔·电子城,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
招生/课程顾问,1.1-2.2万,"电话销售
地推销售
培训机构
五险一金
节日福利
带薪培训",1-3年,大专,杭州·翠苑,杭州炀广宥科技服务有限公司,"其它
         
          20-99人
         
          学校/学历教育"
自由跑腿小件物品配送日结,299元/天,无驾照要求,经验不限,学历不限,秦皇岛·海港区·珠江道街道,沈阳微云配送服务有限公司,"500-999人
         
          货运/物流/仓储"
【可日结】乐客城必胜客招兼职员工J16583,2500元,"西餐厅
加班补贴
节日福利
免费工装
连锁品牌
日结",经验不限,学历不限,青岛·李沧·李村,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
平面设计师,4000-5000元,"PS
CDR
CAD
方案设计
广告设计
包装设计",1-3年,大专,哈尔滨·道里·正阳河,哈尔滨树阳教育咨询有限公司,"100-299人
         
          培训/辅导服务"
长短期可干月8Q,8000-12000元,"公司提供电动车/摩托车
无驾照要求
餐饮外卖
会骑电动车
熟练使用导航
美团
饿了么
达达",经验不限,学历不限,西安·长安·斗门,陕西琪骑配送服务有限公司,"其它
         
          100-299人
         
          搬家/生活配送"
车间操作工-包食宿,6000-7000元,,经验不限,学历不限,克拉玛依·克拉玛依区·小拐乡,山东明英生物科技有限公司,"民营
         
          500-999人
         
          燃料资源加工制造"
