职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
java后端实习生,200-230元/天,"Java
Python
Spring",无经验,硕士,天津·武清·运河西,北京锐达仪表有限公司,"民营
         
          100-299人
         
          仪器仪表制造"
java后端工程师-通信协议、高并发、物联网,1.4-1.5万,"JavaScript
Spring
Mybatis
MySQL
Oracle",3-5年,本科,天津·西青·中北,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,"外商独资
         
          500-999人
         
          运营商/增值服务"
Java开发（上市国企）,9000-11000元,,1-3年,本科,天津·河东·大王庄,北京南天信息工程有限公司,"上市公司
         
          500-999人
         
          计算机软件"
应用软件工程师-26届,1.2-2万·13薪,"C++
Java",无经验,硕士,天津·武清·徐官屯,北京瑞迈特医疗科技股份有限公司,"民营
         
          500-999人
         
          医疗设备/器械"
技术工程师-汽车 架构师、AI、大数据技术,1.4-1.5万,"JavaScript
Spring
MySQL
Oracle",3-5年,本科,天津·西青·中北,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,"外商独资
         
          500-999人
         
          运营商/增值服务"
Java工程师（信鸿医疗子公司：鼎燕生翼招聘）,6000-12000元,"JavaScript
Python
C++",1-3年,本科,天津·南开·学府,信鸿医疗,"上市公司
         
          100-299人
         
          医疗设备/器械"
Java,9000-14000元,,10年以上,学历不限,天津·西青·中北,天津函式科技有限公司,"民营
         
          20-99人
         
          计算机软件"
java软件开发工程师,1.2-1.4万,"JavaScript
Python
CSS",1-3年,大专,天津·河东·春华,北京艺斯丽文化传播有限公司,"20-99人
         
          人力资源服务"
赴日高级软件工程师,1.5-3万·14薪,"SpringBoot
Hadoop
Netty
Hibernate
WEB开发
后端开发",10年以上,本科,天津·西青·张家窝,株式会社嘉成善,"民营
         
          20-99人
         
          IT服务"
Java工程师+月薪20-40k,1.5-3万,"JavaScript
Python
CSS
Shiro
Struts",1-3年,本科,天津·西青·张家窝,万古人力科技集团有限公司,"民营
         
          20-99人
         
          人力资源服务"
java软件开发工程师,1.2-1.4万,"JavaScript
Python
CSS",1-3年,大专,天津·红桥·西于庄,北京艺斯丽文化传播有限公司,"20-99人
         
          人力资源服务"
JAVA开发工程师（天津）(J10160),8000-16000元,"SPRING CLOUD
Vue
react
PostgreSQL
MySQL
Java
JavaScript",5-10年,本科,天津·滨海新区·杭州道,普联软件股份有限公司,"上市公司
         
          1000-9999人
         
          计算机软件"
Java后端技术工程师,1.4-1.6万,"Vue
SPRINGCLOUD
SPRINGBOOT
Spring
AI
架构师
大数据技术",5-10年,本科,天津·西青·中北,广州碧软,"股份制企业
         
          500-999人
         
          计算机软件"
JAVA校招岗,8000-12000元·13薪,"Spring
Hibernate
代码规范",无经验,本科,天津·西青·中北,天津谷川科技有限公司,"民营
         
          500-999人
         
          咨询服务"
Java开发工程师,1-1.5万,,3-5年,本科,天津·和平·五大道,北京青钱信息技术有限公司,"民营
         
          500-999人
         
          计算机软件"
Java 工程师 (AI 平台与工作流),1.3-1.8万,"Python
MySQL
Redis
SPRING COULD
JavaScript
JAVE
AI
Android",5-10年,本科,天津·东丽·华明,薪领航(天津)管理咨询有限公司,"民营
         
          20人以下
         
          人力资源服务"
JAVA开发工程师,1.2-1.8万·13薪,"Spring
MongoDB
Java
Hibernate",3-5年,本科,天津·西青·中北,天津谷川科技有限公司,"民营
         
          500-999人
         
          咨询服务"
Java开发,1.2-1.4万·13薪,"C++
Python
JavaScript
Hibernate
Mybatis
Ehcache
Oracle
MongoDB
SQLServer",3-5年,大专,天津·滨海新区·杭州道,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
