职位,薪水,经验,学历,关键词,工作地址
活动社工,4000-6000元,1-3年,大专,"职位描述
养老助老
社区人员管理
社区文化管理
社会调查
1、负责制定中心内各类活动的实施计划，包括活动策划、发布、组织、实施，并做好相关台账记录。
2、配合中心负责人做好对外资源的链接，组织志愿者团队、拓展共建单位、拓宽合作渠道。
3、负责中心的宣传，通过活动推广、服务推广，社群维护，扩大中心在社区居民中的知晓率，拓展服务群体。
4、配合公司总部品企划品牌宣传工作，熟练编辑公众号宣传文章和视频剪辑。
5、完成领导安排的其他工作。
任职要求：
1、专科以上学历，社会工作者或社会学及养老相关专业优先；
2、具有养老行业活动组织的工作经验优先；
3、具有较强的协调能力和沟通能力，喜欢并擅长与长者沟通；
4、性格外向、开朗、亲和力强，有较强的表达能力、沟通能力、理解能力，","工作地点
湖州吴兴区紫玉花苑南区
查看地图"
一般网格员(10008),3000-5000元,经验不限,大专,职位描述居民调解社区人员管理社区文化管理  招聘条件：  (一)遵守中华人民共和国宪法、法律、法规，拥护中国共党的领导。  (二)品行端正，无违法违规违纪和社会不诚信记录，具备好的职业道德，有较强的责任心，能吃苦耐劳。  (三)熟悉基层环境、社情，热心社区工作，有长期扎根社服务基层群众的意愿。  (四)身体健康，具有全面履行网格员工作职责的能力，具24 小时应急待命参与相关工作的能力。  (五)具有较好的文字、口头表达能力和良好的组织沟通协能力;具备使用办公软件和智能手机各类 APP 软件的技能。  (六)年龄在 18 周岁以上 45 周岁以下，具有大学专科及以上学历，符合以下条件的可适当放宽年龄和学历条件:中共党员，退役军人，持有社会工作者职业资格证书，在本辖区群众基础较好，热心网格工作的人员。  岗位职责：  1、发现搜集报告问题隐患；  2、采集基础信息；  3、排查劝调一般矛盾纠纷；  4、宣传发动人民群众；  5、领导交办的其他工作。  注意事项：(一)请应聘人员准确、完整填写简历和相关资料信息。提交应聘材料无弄虚作假和隐瞒遗漏，如与事实不符，我司有权取消其应聘及录用资格。(二)在招聘过程中我司不会向应聘者收取任何费用，请提高警惕，谨防受骗。(三)经初审符合条件者，我司将通过电话、短信等方式与应聘者联系，初审未通过的应聘者，不再另行通知。,"工作地点
成都市-成华区-国机西南大厦
查看地图"
罗湖区某单位岗位社工,5000-7000元,经验不限,本科,"职位描述
社会调查
纠纷调解
罗湖区某单位岗位社工（新标准）
具体工作内容：

1.接待处理来信、来电、来访的服务对象，并做好情绪疏导工作；

2.调解矛盾纠纷，引导来访人依法维权；

3.协助有关部门处理以及相关的信访及仲裁事项；

4.完成上级部门交办的其他工作。


招聘人员要求：

1.社会工作专业或相关专业（社会学、心理学、法律）毕业，本科及以上学历；

2.取得助理社会工作师及以上的级别的资格证书；

3.有调解经验或政府工作经验优先。","工作地点
深圳罗湖区沿河北路
查看地图"
宜宾南溪城乡社区治理负责人,4000-5000元,1-3年,本科,"职位描述
城乡社区治理
工作细心
责任心强
项目负责人
职位描述
1. 招聘人数：2人
2. 工作地点：宜宾市南溪区
3. 岗位职责：
（1）全面统筹项目：在机构的要求和项目内容的框架下，独立统筹社区服务项目的全周期管理，确保项目高质量完成，并定期向机构汇报项目进展与成果。​
（2）高效资源整合：主动挖掘并整合社区、政府、企业、社会组织等内外部资源，合理调配人力、物力等资源，保障项目高效推进。​
（3）科学团队管理：负责项目团队组建与分工，营造积极向上的团队氛围，加强成员间沟通协作。​
（4）严格档案管理：监督指导团队成员完成服务档案记录，审核档案完整性、准确性与规范性，确保档案管理符合行业标准与机构要求。​
（5）协调各方关系：积极与服务对象、社区居民等沟通协调，及时处理项目执行中的问题与矛盾，维护良好的合作关系。​
4.任职要求：
（1）社会工作、社区管理、社会学、心理学、行政管理、公共管理等本科以上学历，持有助理社工师及以上资格优先；
（2）热爱公益事业，认同社工价值理念，遵守社会工作职业操守，态度端正，爱岗敬业，有长远从事社工行业的志向；
（3）责任心强，工作细心，性格开朗，能吃苦耐劳；
（4）负责执行过省级城乡社区社区治理试点及省级城乡社区治理特色创优工作优先。
薪酬待遇：
根据学历、资质及工作经验，6-9万元每年、购买5险1金、年底奖金、特别优秀者薪资可面谈；另享有带薪年假、专业督导，以及各种培训进修机会。","工作地点
叙州区宜宾站
查看地图"
社区服务专员,6000-11000元,经验不限,大专,"职位描述
社区人员管理
社会调查
社会福利
社区活动对接
提供利民服务
保险知识宣传座谈接待
提供咨询解答
小区居民礼品递送
为社区老人生活提供力所能及的服务","工作地点
上海普陀区曹杨路
查看地图"
社会工作实习,100-120元/天,,学历不限,"职位描述
居民调解
社区人员管理
岗位职责：
1.再带教老师的指导下学习各项业务流程里管理方法。
2.参与日常管理工作。
3.协助团队完成项目计划的制定与执行。
4.参与培训和发展计划，积极提升个人能力。
5.有机会在不同的部门轮岗实习，以全面了解公司业务。
任职要求：
1.年龄要求：24-25届应届毕业生。
2.具备良好的学习能力和适应能力，能够快速吸收新知识。
3.有坚强的沟通能力和团队合作精神。
4.提供实习生宿舍，适合需要住宿的应聘者。","工作地点
天津市-河东区-七经路92号(大王庄地铁站B口步行100米)8层
查看地图"
社工（养老院）,6000-7000元,1-3年,大专,"职位描述
养老助老
1.制定康乐服务活动管理制度，组织活动开发，制定活动实施计划，审核个性化康乐活动方案。
2.负责日常活动、小组活动、主题活动、节日活动的策划、筹备、审核、执行、文案编写及保存工作，把控活动从策划到执行所有流程制定及活动报告的完整性、专业性及活动安全性。
3. 负责外部志愿者、义工的管理，培训服务技能，并组织志愿服务。
4. 开展社会公益合作，审核社会公益组织的活动方案，支持社会公益组织的公益活动。
5. 完成领导交办的其他工作。
岗位要求：
1. 大专及以上学历。
2. 持有社工师证、社会专业或相关专业。
3. 1年以上相关工作经验。
4. 熟悉养老行业康乐活动的专业知识，了解公司业务，熟悉社会公益组织的相关知识，熟悉社会公益组织的相关知识。
5. 热爱养老服务行业，耐心细致，具有良好的职业道德。
6. 具有较强的活动筹划能力、客户沟通能力及组织活动能力，具有良好的亲和力。","工作地点
北京西城区国投健康长者公寓
查看地图"
公益慈善社工实习生,1000-2000元,无经验,本科,职位描述实习生公益慈善 Ø 招聘岗位及详情  （1）招聘岗位及人数：实习生5人  （2）工作地点：成都市高新区 、金牛区、龙泉驿区、温江区   Ø主要工作内容  1.协助推动慈善项目的执行、跟进及宣传等；  2.协助开展慈善会行政管理、档案管理等；  3.参与慈善会志愿者管理等；    Ø任职条件  ①社会学、社会工作、社会政策、社区管理、公益慈善事业管理、公共事业管理、社会保障等相关专业本科以上学历；  ②热爱公益事业，认同社工价值理念，遵守社会工作职业操守，态度端正，爱岗敬业，有长远从事社工者优先。,"工作地点
武侯区成都高新技术产业开发区慈善会
查看地图"
社工---社会组织,4000-6000元,经验不限,大专,"职位描述
社会组织
任职要求
1. 大专及以上学历，社会工作、社会学、心理学、公共事业管理等相关专业优先；
2. 了解社工服务流程及相关民政政策，有社区服务、公益项目执行经验者优先；
3. 具备良好沟通协调、共情能力，耐心细致，能精准对接服务对象需求；
4. 有责任心、公益心，抗压能力强，可灵活应对服务中的突发问题；
5. 熟练使用办公软件，具备基础文案撰写、数据整理能力，持有社工证优先。","工作地点
北京大兴区观音寺南里31甲1号
查看地图"
医院社工（恩施）,5000-8000元,1-3年,学历不限,"职位描述
社区人员管理
到院引流
免费挂号检查
高效的面试环节（可安排线上或线下面试）
工作内容：
1、负责城区口腔健康知识、活动的开展、宣传、营销;
2、负责意向客户的信息收集、拓展和维护;
3、引导/带领客户检查牙齿。
任职要求：
1、对销售工作有较高的热情，具备较强的学习能力、良好的抗压能力;
2、可以接受外勤地推，有强烈的事业心、责任心和积极的工作态度，有销售工作经验者优先。
工作时间：月休6天，8.00-18.00（具体根据季节和医院活动开展情况调整）
工作地点：咿呀口腔各院区，就近分配
福利待遇：
入职带薪培训，保底薪资2个月，底薪+提成+包中餐四菜一汤（餐补）
缴纳五险一金，带薪年假、节假日福利、生育津贴等。
有意者请联系我，医院直招，当天回复，谢谢","工作地点
恩施恩施市咿呀口腔(福星店)
查看地图"
海淀区社区青年汇专职社工,4000-6000元,经验不限,大专,"职位描述
社会工作
社会学
社团/组织/社会保障
社区青年汇的介绍：
社区青年汇是北京团市委为联系青年、服务青年，依托基层社区，在青年居住、工作聚集区域建设的，以青年城市融入培训、交友联谊、文体娱乐、教育培训、法律心理服务以及青年自组织培育等为主要服务内容，在青年身边的地域性活动平台和团组织主导的区域性基层青年组织，力求为青年打造一个“一个好玩儿的俱乐部，一个靠谱儿的朋友圈”。
工作职责：
执行和落实团市委、团区委和事务所的工作要求，在社区青年汇总干事、督导、事务所的指导下开展工作，通过从青年的需要出发，运用专业社工方法，组织适合他们成长发展需求的活动和服务项目，团结青年、凝聚青年、服务青年，并与青年建立有效的联系，引导青年积极参与首都和谐社会建设。
招聘人数：1
工作地点：北下关街道
岗位待遇：
1.健全的社工岗位设置及薪酬待遇指导标准；
2.完善的工作指标体系，有较大的工作提升空间；
3.底薪+绩效提成、五险一金；
4.浓郁的学习氛围及成长上升空间；
任职条件：
1.具有较强表达能力、沟通能力、热爱青年社会工作。
2.持有社会工作师证书或心理咨询师证书优先考虑；
3.社会工作专业及相关专业毕业生优先考虑；
4.大专及以上学历，年龄不超过35周岁，有相关实务或者实习经验者；
5.年龄45岁以下
重点：本岗位部分工作需要在非工作时间及周末开展。可接受在投递

职位福利：五险一金、弹性工作","工作地点
北京市海淀区
查看地图"
招几个社会工作者/五险一金5号发薪,9000-16000元,经验不限,学历不限,"职位描述
五险一金
招聘啦，入职缴纳五险一金，无经验小白也可以哦，工作氛围嘎嘎轻松~
工作内容:帮助社区人们下载并登录软件
工作时间:9点-20点午休4小时法休
任职要求:45岁或者以下性别不限
工作地址：就近安排","工作地点
北京昌平区京东养车(北清路宏福苑店)000
查看地图"
居养助理,3000-4000元,1年以下,大专,"职位描述
养老助老
居家养老
助餐配餐
岗位职责：
1、根据项目跟进居养十大板块其中1-2个，具体内容由居养主管布置安排，听从工作；
2、在所负责的工作中要对工作的内容进行仔细了解，及时整理资料存档；
3、负责工作的资料要根据评估要求，以达到优秀为目标标准进行汇编保存，并听取主管工作指导；
4、对接街道相关人员，及时向部门主管反馈工作要求或相关信息，及有关通知、公告、投诉反馈等；
5、完成主管或公司领导临时安排的工作。
岗位要求：
1、专业不限，社会工作或相关专业；有相关服务经验者优先考虑；
2、 协助一线社工开展社区走访、社区宣传，组织社区活动等相关服务；
3、具有良好的沟通表达能力；
4、具有良好的文字表达和处理能力；
5、具备较高的执行力与团队协作能力，且能不断提升自身的能力。","工作地点
广州荔湾区岭南街综合养老服务中心(颐康中心)
查看地图"
一线社工,4000-6000元,1-3年,大专,"职位描述
助理社工证
1.根据社工站制定的工作计划，积极开展、跟进、完成各项工作任务；

2.参与服务项目策划和组织，综合运用个案、小组和社区等工作手法为服务对象开展适当服务；

3.与服务对象保持密切联系，主动了解他们的需要，切实为之排忧解难；

4.联系服务资源，做好服务资料记录与整理；

5.完成上级交办的其他工作。

任职要求：

1.社会工作或相关专业大专及以上学历；

2.持有助理社工师资格证；

3.能灵活运用社会工作专业理论知识、工作技巧开展社会工作服务，有独立开展活动能力；

4.具有社会责任感、敬业精神和一定的奉献精神；

5.具备良好沟通协调能力和团队合作精神；

6.有社会工作服务经验者优先。


工作地点：石牌街/五山街","工作地点
天河区广州市石牌街社工服务站
查看地图"
社区党群一线社工,6000-8000元,1-3年,本科,"职位描述
社会工作
社会学
法学
社团/组织/社会保障
一、地点
南山留仙社区党群服务中心 6-7k （本科以上学历）
龙华区党群服务中心 7-8k （本科以上学历）
二、岗位职责
（1）进行实地走访，了解服务对象的情况和需求，运用社工专业工作方法策划实施专业服务；

（2）按时完成服务指标，保障服务质量及时提交服务档案；

（3）与社区各组织建立良好的合作关系，做好沟通协调工作；

三、岗位要求：

（1）社会工作或相关专业（社会学、法学、心理学、公共事业管理等）毕业，具有本科及以上学历；认同社会工作价值观及理念。
（2）持有初级社工师及以上资格证者，深圳注册社工；
（3）具有良好的沟通表达能力和写作能力；
（4）有党群一线社会工作实务1年以上经验；","工作地点
深圳南山区留仙社区党群服务中心
查看地图"
之家-琴园社区-个案管理(J77715),5000-6000元·13薪,无经验,本科,"职位描述居民调解养老助老社会调查卫生服务 招聘2026届应届毕业生  岗位职责:  1.协调康复医院和社区的社会和健康资源，提高客户体验。  2.根据医疗、护理和客户的需求，完成家庭会议的发起和组织工作。  3.加强患者/居民、家属和医院工作人员之间的沟通，经常拜访，及时反馈。  4.组织召开委员会会议，定期沟通，收集诉求，管理前置。  5.鼓励患者/居民参与医院、社区的文娱活动，包括节日关爱、生日庆祝等。  6.提供协助完成患者/居民出入院的服务，以提高客户体验。  7.协调出院/离世计划，提供相关信息，以及获取和协调可利用的资源服务。  8.协助实现并维持对于每名患者/居民实现最佳生活品质和独立生活能力所必须的治疗环境。  9.安抚、受理患者/居民投诉和诉求, 视事件发展需要逐级上报。   10.完成出院/退住人员电话回访，了解其现状和需求，给予可提供的支持。  11.遵守部门职责及医院规章制度。  12.完成领导交办的其他工作。  任职要求:  1、本科及以上学历，社会工作、公共管理；  2、有医疗机构实习经验（客服管理、康复和案例管理经验者）优先；  3、有较强的责任心、沟通能力和自我协调能力，自律性强；  4、遵守医院规章制度。","工作地点
青岛城阳区泰康之家·琴园
查看地图"
养老院社工,4000-5000元,经验不限,学历不限,"职位描述
养老助老
1. 负责养老院内的社会工作服务。
2. 完成个案工作、小组工作、恒常活动。
3. 关心长者精神状态。
4. 参与相关活动和项目的策划与执行。
5. 拍摄并剪辑视频，公众号撰写及发布。
6.日常文书、活动计划等内容撰写。
7.与其他部门合作，共同推进院内发展。
感兴趣联系我，欢迎加入我们的团队！","工作地点
佛山市-顺德区-大良街道新基一路96号
查看地图"
