职位,薪水,经验,学历,关键词,工作地址
招迎宾服务员，6000+包吃住,6000-7000元,1年以下,学历不限,"职位描述
中餐厅
包吃包住
工作内容：前厅主要是负责门店顾客接待及服务，后厨主要是愿意做即可，半成品有人带
薪资待遇：每月工时满234小时后续算加班，20元小时，底薪4500元左右，包吃包住，业绩奖金，法定按照时薪的三倍计算，月综合薪资底薪+加班+绩效=5000+","工作地点
宝山区上海宝杨宝龙广场-3号楼
查看地图"
服务员,2000-3000元,1年以下,学历不限,"职位描述
小吃店
包吃
月休两天
工作职责： 1.负责店内卫生的清理，负责接待、下单 2.接待顾客主动、热情、耐心、周到 3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理 职位要求： 能吃苦耐劳，踏实肯干","工作地点
重庆翠云街道兴科大道回兴转盘
查看地图"
兼职-店员/服务员,22-26元/时,经验不限,学历不限,职位描述西餐厅咖啡店甜品店西餐厅岗位要求：有西餐、咖啡店或酒店餐饮等工作经验，对形象有要求（需提供照片一张），微笑热情服务顾客，有健康证。 年龄30以内  工作时间：长期兼职，周一至周日（具体根据店里实际情况安排，6-8小时）    要求：上岗穿黑色衣服，黑色裤子。最基本的不能有美甲，发色不要太明显。  时薪：22/小时，法定节假日26/小时  工作地点：  751店 朝阳区酒仙桥4号院  建国门店 朝阳区秀水街1号院  塔园门店 北京市朝阳区三里屯街道新东路1号院,"工作地点
北京朝阳区建国门外外交公寓1
查看地图"
济南济微路必胜客餐厅服务员-J14501,2000-2500元,经验不限,学历不限,"职位描述
西餐厅
奶茶店
咖啡店
免费工装
节日福利
【须知】本岗位为山东省总部直招直面，请放心投递，携带你的简历，主动投递更快联系。
【可日结】该岗位招收，长期兼职，日结兼职，实习生
【正在招募店铺】济南济微路必胜客
【工作职责】
你将从事：外场服务人员岗位&后厨产品制作岗位
- 对客服务类工作：满足顾客需要，给顾客带来完美用餐体验
- 产品制作类工作：参与比萨、牛排等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺
【我们的岗位】
岗位1：学生兼职
要求：年满18周岁，在校大学生，开学后周六、日能提供固定上班时间
岗位2: 长期兼职服务员
要求：业余时间兼职，每天可兼职4-8小时。
岗位3：退休兼职（省内必胜客就近分配）
要求：60周岁以内，持退休证或退休证明
【我们提供的】
系统正规的带薪培训
-专人带训，前期定点培训，有额定周期，先教会，后独立，1990年至今，餐饮领头的完整培训机制，充分学习资料，线下＋线上，实时可学实时巩固。
一，弹性安排工作时间
-提前排班4-8小时，专人排班，值班经理一对一了解公办需求，时间协调。
二，完善的福利机制，多劳多得，按能力提供奖金支持。不让你的每一次努力付之东流。
-提供上班时间的阶梯奖金，多劳多得。根据产品出品与服务质量评估，提供完善的晋升机会与评估补贴奖金。做得越好，获得越高。
三，团队覆盖多年龄段人员，不用担心无人作伴，无人合作，年龄代沟。
-各轻团队群体，根据年龄与喜好匹配各团队，做专业的事情，做自我习惯的事情。
四，员工附加福利
-提供专属的员工休息区，提供微波炉，冰箱，特价9元起员工餐。24小时热水空调，日常员工活动，特价员工饮品。
【发展空间】
服务员→值班组长→值班经理→更高管理职位
人人有晋升机会，社会兼职在校生同步拥有晋升机会。
【就业保障】
先签约后上岗，先培训后独立。免费健康证。
工资不拖欠，员工不试工，专人排班，专人辅导，每班次值班经理同步在岗，信息公开，操作风险低，不可控意外损坏餐品餐具原物料不赔偿。
问题实时反馈，必有人员解决。
-月薪10日前结算工资与奖金，灵活便捷，时段丰富。
-日结岗当天上班次日结算，月结奖金同步长期兼职。","工作地点
济南市中区必胜客(济微路店)
查看地图"
日料店服务员+包吃住,4000-6000元,夫子庙,经验不限,"职位描述
日式餐饮
包吃包住
节日福利
全勤奖金
工作轻松
接受小白
【招聘要求】
1.年龄18-25周岁，
【岗位职责】
出餐，传菜 ，桌面清理，结尾
【工作薪资】
底薪4500/月+全勤300+业绩奖金（根据门店业绩和个人表现100-500元不等）。提供三餐食宿，提供工服。不需要住宿的话宿舍补贴300元/月
【福利待遇】
包吃三餐，住宿条件很好，公寓住宿，基本设施都有（wifi，洗衣机，空调，独立卫生间），节假日三薪
【工作时间】
做六休一 ，早上9点半-14点半，下午16点-21点半","工作地点
一绪に寿喜烧放题(夫子庙水游城店)江苏省南京市秦淮区建康路1号鹏欣水游城F4
查看地图"
薪资7000+厂区服务员/可日结/五险一金,6000-8000元,无经验,学历不限,"职位描述
中餐厅
包吃包住
五险一金
工龄奖金
免费工装
招聘服务员！
实习生、应届生！免费提供食宿！
月综合工资6500-7000
1⃣️岗位介绍：餐厅服务员-（按月计薪）
2⃣️岗位职责：在餐厅领班指导下，做好餐饮的服务工作、给客人点餐、用餐、收银结算等工作；
3⃣️要求：16-40周岁左右、学历不限、；有无经验均可；
4⃣️薪资待遇：免费提供食宿（一日三餐）、
上六休一有加班费、超出每天工时也有加班费25元/小时；月综合工资6500-7000元以上；每月10号发上月工资，可预支","工作地点
北京大兴区亦庄(地区)镇
查看地图"
【可日结】招远罗峰路必胜客招兼职服务员J16569,2500-3500元,经验不限,学历不限,"职位描述
西餐厅
咖啡店
甜品店
免费工装
就近分配
时间灵活
带薪培训
法定节假日三薪
【工作内容】
满足顾客需要，从事基础工作（接待、传餐、收银等），给顾客带来完美用餐体验。
产品制作类工作：直接参与食品、饮料等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺。
【招聘对象】
学生兼职：年满18周岁，在校大学生，有学生证
社会兼职：18-60周岁，有正职+职工社保，或退休证
灵活用工：空余时间多，灵活排班
【岗位要求】
1、年满18周岁
2、热情开朗，正直诚信，善于与人沟通
3、适应快节奏、高效的工作环境
【薪资福利】报酬+补贴，特惠员工餐，就近分配，弹性工作制，环境好，带薪培训，时间灵活，免费工装J","工作地点
烟台招远市必胜客(WOW罗峰路店)必胜客
查看地图"
高薪急招+日料店前厅后厨洗碗+法定三薪,5000-6000元,经验不限,学历不限,"职位描述
包吃
包住
日料店
快餐店
连锁店
切配
收银
洗碗
全职兼职均可
滨寿司招聘前厅后厨洗碗工
一小时23，国家法定节假日三倍薪资，上六休一，没月15号发薪。
包吃不包住，上满4小时包一餐，上满8小时包两餐
8:30-22:30这个时间段排班，上8-9小时。
兼职可固定班次。

天津多地有岗，可就近分配，
年龄20-45岁，经验不限。","工作地点
天津市-津南区-辛庄镇鑫怡路深特广场1号楼
查看地图"
餐饮服务员,4000-5000元,无经验,初中及以下,职位描述包吃包住全勤奖带薪年假五险一金意外险免费工装宿舍有空调工龄奖餐饮服务  岗位职责：  1、按照领班安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用。  2、接待顾客应主动、热情、礼貌、耐心、周到，使顾客有宾至如归之感；  3、运用礼貌语言，为客人提供最佳服务，  4、善于向顾客介绍和推销本餐厅饮品及特色菜点；  5、配合领班工作，服从领班或以上领导指挥，团结及善于帮助同事工作；  6、积极参加培训，不断提高服务技能。  任职资格：  1、年龄18-30岁，身体健康，能吃苦，  2、品行端正，能吃苦耐劳，初中以上文化程度。  工作时间：早上11：00--14：00 下午17：00--22：00 有意者直接电联职位福利：五险一金、加班补助、全勤奖、包吃、包住、带薪年假、定期体检,"工作地点
广州市海珠区滨江东路795号新珠江大酒店四楼
查看地图"
北京肯德基总部直招/朝阳区/新浪总部 肯德基-全职兼职服务员 就近分配/80011038,4000-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京海淀区新浪总部大厦
查看地图"
