职位,薪水,经验,学历,关键词,工作地址
短视频拍摄剪辑专员,7000-10000元,1-3年,大专,岗位职责 1.根据策划需求，拍摄、剪辑制作短视频； 2.参与团队前期策划筹备，提供拍摄相关的创意内容，细化脚本、研究镜头表达方式； 3.参与前期拍摄、后期特效合成、剪辑合成、音乐音效合成等工作技能； 4.把控整个拍摄流程的节奏与人员及道具调配，能够运用纯熟的剪辑技术，针对视频特性进行剪辑包装创意，并开发创新的视频表现形式。     岗位要求  1.1年及以上短视频制作相关经验，摄影、数字媒体、影视制作、艺术设计等相关专业优先；  2.熟练使用摄影设备，熟悉后期视频剪辑制作，能熟练运用专业视频剪辑软件；  3.具备一定的视频拍摄和制作经验，有较强的美学知识，精通布光，善于布景；  4.能驾驭各种视频风格，具备良好的审美感、镜头节奏感和音乐感；熟知短视频玩法，对热点有敏感度，善于创新，思维活跃有脑洞；  5.抖音快手重度用户，熟悉短视频平台的制作规范；  6.善于与人沟通，逻辑思维清晰，能快速理解需求，具有较强责任感和团队合作精神，具备极强的执行力。  职位福利：周末双休、带薪年假、节日福利、五险一金,"工作地点
杭州西湖区绿城西溪国际D座7层
查看地图"
直播视频编辑师,3000-6000元,1-3年,学历不限,"岗位职责：
- 负责公司直播视频的内容编辑与后期制作
- 确保视频内容符合品牌调性和市场需求
- 与直播团队协作，提升直播视频的观看体验和用户互动
岗位要求：
- 熟练掌握视频编辑软件和工具
- 具备良好的审美观和创意思维
- 有直播视频编辑经验者优先
- 能够适应快节奏的工作环境，具备良好的时间管理能力","工作地点
广州越秀区金德大厦(东南1门)15楼C座
查看地图"
视频编辑师,5000-7000元,经验不限,本科,"关于我们:
是一家全数据驱动的新消费品牌拥有WIS、KONO、魔渍、墨雪等知名日化品牌。""让更美的生活触手可及""是我们的使命,我们将持续通过深挖数据价值,坚持以用户为中心,成长为倍受用户喜爱的新国货品牌。期待你的加入
【福利待遇】
1、入职即购买五险一金:
2、生日会:每月为当月生日员工组织生日会,同时会有生日卡片及礼品赠送:
3、部门活动:公司每月拨一笔经费,部门可自主选择活动(比如聚餐、电影、小型旅游等);
4、免费产品:每月120币,用于兑换WIS面膜、水乳等公司产品,公司不定期会发放免费各类日用产品;
5、公司为员工营造良好的休闲生活、工作环境,配备冰箱、微波炉、茶水机等员工休闲区
6、健康饮食：公司有专门的厨师做饭， 以成本价开放给大家吃，口味还不错哦；
7、员工享受带薪年假、产假、婚假、酒会、月会、年会等。
要求：统招本科；做过新媒体外加以下任意一项即可，要有半年以上经验哦，应届生毕业后一直在做相关的也可以。
1.剪辑（熟练使用剪映、pr）；
2.KOC/KOL业务；
3.电商官店运营经验；
4.视频剪辑切片经验；
5.投流经验；
6..其他新媒体相关经验
薪资：5-8K，面试定薪。
时间：大小周，早8.30晚6","工作地点
广州市-黄埔区-科学大道18号
查看地图"
10k+大健康信息流剪辑师,5000-10000元,北林路,1-3年,"岗位：信息流剪辑师
岗位数量：50人
岗位内容：1. 负责剪辑大健康信息流广告视频
2. 对接运营协调视频的制作环节，保证每日成片的质量和工作量
3. 根据抖音爆款逻辑寻找剪辑素材和拆解爆款视频框架，不断优化视频质量，提高广告转化率；
4. 熟悉抖音广告视频特点，参与脚本创作，对剪辑的主题方向有个人见解，能为后期的剪辑制定方案；
5.主动关注短视频市场动态，对热点视频、爆款视频一定的分析能力，能快速反应输出符合市场的视频内容。
岗位要求：1、有过带货/信息流类视频剪辑经验者优先考虑；
2、了解熟悉Pr、ps等软件，熟练掌握剪映软件，能独立剪辑完成2分钟左右的视频制作；
3、 熟悉抖音平台，对视频剪辑有浓厚兴趣，具有良好的爆款视频网感、审美及鉴赏能力，有自己独特的剪辑风格；
3、有一定的文字功底，对脚本和文案有自己的见解，有拆解对比总结能力，有较强的思维活跃度和创新能力；
4、工作细致认真、执行力强，团队意识强，具有较好的沟通能力和强烈责任感。
上班时间：9:00-12：30 14:00-19：30，固定每周日休息
工资待遇：综合5k-10k，具体底薪根据面试情况定薪","工作地点
郑州金水区经三路1
查看地图"
地产视频编辑,7000-8000元,经验不限,本科,"岗位内容：
1. 策划和制定短视频运营的整体方案，包括选题、拍摄、剪辑等。
2. 负责短视频平台的日常运营，管理用户关系和社群运营。
3. 数据分析和监测，根据数据进行调整和优化。
任职要求：
1.有视频剪辑经验，熟练应用视频剪辑软件(如剪影、pr 、 fcp 、达芬奇等)
2.熟悉应用专业相机拍摄设备，掌握短视频拍摄、制作流程，善于把文本语言转化成画面语言；
3.对短视频热点敏感，善于捕捉热门内容亮点，具备良好的模仿及创意二次创作能力；
4.优秀毕业生可优先考虑。","工作地点
丛台区邯郸市第一医院(东湖院区)建安路以北，春华路以西，文澜路以南
查看地图"
视频编辑,5000-6000元,经验不限,大专,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1.至少专科及以上学历.
2. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
3. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
驻马店驿城区新百汇写字楼4楼412
查看地图"
底薪5K剪辑/五险一金,4000-6000元,1-3年,大专,"【岗位职责】
1、根据运营的需求，拆分素材，分类，整理素材
2、素材剪辑，加字幕、特效、成片等
【任职要求】
1、熟练使用调色工具，有非常好的审美优先，面试附上你的视频作品
2、有过视频剪辑，图片调色经验
3、有过信息流视频剪辑经验优先，具备拍摄经验及拍摄技巧
4、熟练使用PS，PR，剪映软件
【工作时间】
1、9:00-18:00，中午12-13:30休息，不加班
2、单休周一
【薪资福利】
1、无责底薪4000+1000绩效
2、五险一金+每周下午茶+带薪年假+工龄年假+节假日礼品+周年纪念+生日礼品等
3、超长带薪年假","工作地点
重庆渝北区恒大中渝广场2号写字楼26楼
查看地图"
视频编辑,4000-8000元,民族大道,1-3年,"岗位职责：
1. 负责各类创意短视频、宣传片等内容的后期剪辑、包装及制作，确保成片质量；
2. 理解影视语言，把握用户痛点，根据创意脚本对视频内容进行剪辑创作、剪辑和编排，形成宣传效果良好的创意视频；
岗位要求：
1. 专科及以上学历，影视设计、影视后期、影视编导、动画等相关专业;
2. 一年以上后期制作岗位工作经验，有抖音短视频的剪辑经验者优先；
3. 熟练使用PR、AE、剪映、达芬奇等软件;
4. 对画面、镜头整体把握力强，对色彩、构图、镜头感觉敏锐；
5. 玩创意，爱创作，能大胆表达自己的想法，乐于尝试新的内容形式及创作风格，乐思乐学。
职位福利：五险、福利双休、节日福利、定期下午茶、绩效奖金、项目提成
在职的，专业不对口的，看看情况的不要投简历。","工作地点
南宁青秀区亚航财富中心
查看地图"
短视频编辑,4000-8000元,经验不限,大专,"一、公司简介
我们是一家专注于短视频内容创作与传播的创新型公司，业务覆盖生活、美食、旅行、娱乐等多个热门领域。凭借独特的创意和优质的内容，公司拥有专业的创作团队和完善的制作流程，致力于打造有趣、有料、有价值的短视频内容，为用户带来全新的视听体验。
二、岗位职责
1. 负责短视频的创意策划，根据不同主题和目标受众，制定独特新颖的拍摄方案，确保视频内容具有吸引力和传播性。
2. 熟练运用摄影摄像设备，完成短视频的拍摄工作，包括场景布置、镜头运用、光线调节等，保证拍摄画面的质量和效果。
3. 运用专业剪辑软件（如剪映、 Adobe Premiere Pro、Final Cut Pro 等）对拍摄素材进行后期剪辑，添加字幕、音效、特效等，使视频节奏紧凑、内容生动。
4. 关注短视频平台的流行趋势和用户喜好，不断优化视频内容和表现形式，提高视频的播放量、点赞数、评论数等数据指标。
5. 与团队成员密切协作，包括编导、运营等，共同完成短视频的制作和推广工作，确保项目按时交付。
三、任职要求
1. 影视制作、传媒、新媒体等相关专业优先。
2. 熟练掌握摄影摄像技术，能够独立完成短视频的拍摄任务，对画面构图、光线运用有敏锐的感知和把握能力。
3. 精通至少一种主流剪辑软件，具备扎实的剪辑功底，能够熟练运用剪辑技巧，制作出高质量的短视频作品。
4. 具备良好的创意策划能力和审美能力，对短视频内容有独特的见解和创新思维，能够快速捕捉热点话题并融入到创作中。
5. 工作认真负责，有较强的责任心和团队合作精神，能够承受一定的工作压力，按时完成工作任务。
四、薪资福利
1. 具有竞争力的薪资待遇：根据个人能力和经验面议。
2. 广阔的发展空间：公司注重员工的个人发展，提供丰富的培训和晋升机会，优秀员工有机会参与公司的核心项目。
3. 轻松愉快的工作氛围：公司团队年轻有活力，工作环境舒适，鼓励员工创新和分享。
期待你的加入，一起创作更多精彩的短视频！","工作地点
威海环翠区火炬高技术产业开发区恒泰街97-2号广源家具五楼
查看地图"
短视频剪辑（入职缴五险）,6000-8000元,1-3年,大专,"岗位职责
1、负责公司视频素材的剪辑，确保视频成品质量符合公司要求；
2、协调与沟通视频制作的各相关环节，协助完成后其创意、制作和包装工作，对成品质量负责；
3、 负责视频库的日常更新与维护，定期对视频内容做整理、分类。

任职资格：
1、熟练各项剪辑软件，如AE/PR/剪映等；
2、熟练运用镜头语言、BGM、包装元素等；
3、具备良好的审美能力和创意，有一定的视频逻辑整理能力；
4、具备良好的沟通能力和团队合作精神，能够和团队成员高效沟通协作，执行力强；
5、两年以上的短视频后期经验，有短视频平台爆款作品者优先。","工作地点
长沙天心区中欣国际6楼601
查看地图"
