职位,薪水,经验,学历,关键词,工作地址
急招幼教8000＋,8000-11000元,经验不限,学历不限,"职位描述
托管老师
任职要求：
1、具备较强的学习能力、目标性强、吃苦耐劳 、责任心强
2、具备优秀的客户服务意识，良好的沟通表达能力，管理协调能力
3、身体健康，吃苦耐劳，服从上级安排；　　　
4、工作积极主动，服务意识强，极强责任心，能吃苦耐劳。","工作地点
十月颂·月嫂(市北店)山东省青岛市市北区敦化路383号1002户
查看地图"
幼儿教师/幼教/班主任,3000-4000元,1-3年,大专,"职位描述
学前教育
教师
学校/学历教育
岗位职责：
1、严格遵守幼儿园各项规章制度和师德规范。
2、全面负责本班教育和保育工作，结合本班实际，制定教育工作计划（包括观察、分析、记录幼儿发展情况），并认真执行。
3、对幼儿态度和蔼可亲，做到耐心、关心、细心、热心，与本班教师、生活教师团结协作，搞好所在班级教育、卫生、保健及生活护理等工作。
4、认真执行幼儿作息制度，认真安排好幼儿一日生活内容，做到动静交替，手脑并用，确保幼儿身心健康成长。
5、主持召开每周班务会议，共同确定下周工作重点，与副班主任和生活教师共同搞好班内工作。
6、坚持正面教育原则，尊重幼儿，积极启发诱导，严禁体罚和变相体罚。
7、努力钻研业务，积极参加教研活动及业务学习。积极创编教材，制作教具，不断提高自身素质及水平。
8、做好交接班工作，家长特别要求、患儿药品、物品具体登记交接。
9、密切家园联系，做好家教宣传，常常与家长保持联系，及时交换意见。
10、认真做好教研活动记录和每周教育小结。
任职资格：
1、专科及以上学历，心理学、幼儿教育等相关专业，有教师资格证；
2、具有2年以上幼教教学经验者优先考虑；
3、具有一定的管理经验，亲和力强；
4、熟悉儿童生活习性，了解儿童心理；
5、具有一定的文艺表演能力，普通话标准，口齿伶俐；
6、热爱教育事业，工作积极主动、责任心强。
福利待遇：基本工资+绩效工资，综合工资4000-8000元，包吃住（不在本园住宿）。
工作时间：每周一至周五，双休。
智慧熊幼教集团下属36家直营连锁幼儿园，工作地点：青岛市内三区及城阳、即墨、北京、济南、威海、东营、烟台等，根据个人申请以及幼儿园教师缺编情况分配。

职位福利：五险一金、绩效奖金、全勤奖、包吃、包住、餐补、带薪年假、节日福利","工作地点
青岛市北区68商街
查看地图"
诚招幼教老师包吃住7000+,6000-10000元,经验不限,学历不限,"职位描述
就近分配
任职要求：
1、具备较强的学习能力、目标性强、吃苦耐劳 、责任心强
2、具备优秀的客户服务意识，良好的沟通表达能力，管理协调能力
3、身体健康，吃苦耐劳，服从上级安排；　　　
4、工作积极主动，服务意识强，极强责任心，能吃苦耐劳。","工作地点
邯郸市-丛台区-鸿基大厦A座1703
查看地图"
幼教老师,3000-5000元,经验不限,大专,"职位描述
幼儿园
岗位内容：
1. 实施幼儿教育计划并监督学生学习进展；
2. 管理教室和学生行为，维持一个安全、积极的学习环境；
3. 与家长协商沟通，创建亲密的师生关系。
任职要求：
1. 本科及以上学历；
3. 热爱幼儿教育且具有耐心和细心的态度；
4. 能够主动解决问题且善于沟通交流。","工作地点
平顶山湛河区爱陪童幼儿园(九龙校区)
查看地图"
幼教,3000-5000元,1-3年,大专,"职位描述
幼儿园
1. 负责3-6岁幼儿的日常教学工作； 2. 根据课程计划备课、上课； 3. 组织幼儿活动，促进其身心健康发展； 4. 与家长沟通，反馈幼儿的学习和生活情况。 要求： 1. 学前教育专业背景； 2. 有爱心，耐心，责任心； 3. 善于沟通，团队协作； 4. 有幼儿园工作经验者优先。","工作地点
郑州市-中原区-伏牛路6-1号
查看地图"
幼教老师,3000-6000元,1-3年,大专,"职位描述
助教
培训机构
幼儿园
职位描述：
1、调动学生学习围棋积极性、主动性，培养围棋兴趣
2、通用能力:热爱教学、爱心耐心责任心、自驱力、服务意识、学习能力、表达沟通能力、亲和力、乐观开朗、主动积极
3、学前教育或大专以上学历及相关专业
4、无经验均可，公司免费培训，有教学经验者优先录用。
任职资格：
1、大专及以上学历，幼教、早教经验者或师范类院校毕业者优先；
2、熟练掌握办公软件和互联网的使用技巧；
3、具备教育心理学知识，较强的授课能力；
4、具有很强的中文表达能力，普通话标准，口齿伶俐；
5、具有较强的亲和力，讲课生动活泼，知识面宽广；
6、热爱教育事业，工作积极主动、责任心强。
7、接受应届生

福利薪资
1、薪资面议
2、各项福利齐全","工作地点
湛江霞山区明园路3号御景豪庭
查看地图"
幼教实习生,2000-3000元,无经验,中专/中技,"职位描述
托育中心
幼儿园
培训机构
保育员
助教
不需要
幼教实习生，能吃苦耐劳，勤学肯干，服从安排。人品好。养尊处优者免扰。包吃住","工作地点
广西壮族自治区南宁市青秀区汇春路香港花园10栋
查看地图"
幼教/小课堂老师,6000-10000元,3-5年,大专,"职位描述
教研
户外活动
知识讲解
幼儿园
培训机构
托育中心
• 岗位职责
1. 负责公司游戏活动以及萌宠乐园课程计划的落地实施，参与活动策划及迭代更新。
2. 热情接待亲⼦家庭，并为他们提供乐园游戏的详细解说和指导。
3. 确保⼉童了解游戏规则和操作⽅法，解答⼉童的疑问并提供帮助。
4. 监控游戏过程，确保⼉童在游戏中的安全和秩序，及时处理突发情况。
5. 收集⼉童和家⻓的反馈意⻅，为改进游戏和服务质量提供参考。
6. 维护游戏设施和设备的清洁和完好，确保⼉童的游戏体验。。
• 任职要求：
1. 具备良好的沟通能⼒和客⼾服务意识，能够与亲⼦家庭建⽴良好的互动关系。
2. 熟悉乐园游戏的规则和操作⽅法，能够迅速为亲⼦家庭提供指导和帮助。
3. 具备较强的应变能⼒和安全意识，能够在紧急情况下迅速作出反应。
4. 具备团队合作精神，能够与其他⼯作⼈员协作，共同维护研学乐园的秩序和服务质量。
任职资格:
1、有相关带班经验或同等岗位经验优先;
2、幼师或幼教相关专业优先;
3、25-35岁,大专及以上学历。","工作地点
深圳龙岗区努比亚星空乐园
查看地图"
幼师幼教,3000-6000元,1-3年,大专,"职位描述
幼师
托管老师
培训机构
1. 负责5-16岁学员的日常教学工作；
2. 根据课程计划备课、上课；
3. 组织幼儿活动，促进其身心健康发展；
4. 与家长沟通，反馈幼儿的学习和生活情况。
要求：
1. 学前教育专业背景；
2. 有爱心，耐心，责任心；
3. 善于沟通，团队协作；
4. 有幼儿园工作经验者优先。","工作地点
葫芦岛市-兴城市-兴海南街(锦州中百商厦东侧约150米)第七街五楼神墨教育
查看地图"
幼儿园老师幼教,2000-4000元,3-5年,本科,"职位描述
保育员
幼儿园老师
幼儿园
幼师资格证
岗位内容：
1. 对幼儿园教学计划进行规划和实施；
2. 提供安全、健康和积极的学习环境，并管理学生行为；
3. 与家长沟通，提供学生进步报告并解答家长疑惑。
任职要求：
1. 具备教育学或相关领域本科及以上学历；
2. 至少三年相关工作经验；
3. 了解幼儿教育课程和教学法；
4. 具有愉悦性格、责任心和协作精神。","工作地点
吉林省吉林市昌邑区兴华街道桥兴胡同（阳光华苑）
查看地图"
