职位,薪水,信息,工作经验,学历,工作地址,公司名称,公司情况
人事专员,2000-4000元,招聘,无经验,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
人事高级专员（干部管理/组织发展/培训）(J12159),7000-13000元·13薪,"人事培训
组织发展
企业文化",5-10年,本科,天津·东丽·金桥,天津瑞源电气有限公司,"民营
         
          1000-9999人
         
          电气机械/电力设备"
人事文员,6000-7000元,"包吃住
代招
招聘
员工关系",经验不限,学历不限,天津·西青·大寺,天津市景熙人力资源有限公司,"民营
         
          500-999人
         
          人力资源服务"
人力资源管理,7000-8000元,"招聘
绩效管理
薪酬福利",无经验,本科,天津·滨海新区·塘沽,天津渤化化工发展有限公司,"国企
         
          1000-9999人
         
          石油/石化"
人力资源实习生【2026年毕业生】可转正(J11653),150-200元/天,"员工关系
招聘
绩效管理",无经验,本科,天津·东丽·金桥,天津瑞源电气有限公司,"民营
         
          1000-9999人
         
          电气机械/电力设备"
人事文员最后两天,6000-7000元,"招聘
人事培训",经验不限,学历不限,天津·西青·大寺,天津市景熙人力资源有限公司,"民营
         
          500-999人
         
          人力资源服务"
人事专员,4000-6000元,"薪酬福利
绩效管理
员工关系",1-3年,大专,天津·河西·友谊路,昊庭国际展览(天津)有限公司,"20-99人
         
          会议/展览"
人事专员,4000-5000元,招聘,1-3年,大专,天津·南开·兴南,天津合力数据科技有限公司,"20-99人
         
          互联网"
人事行政助理,4000-6000元,"招聘
行政及后勤
一建、二建",5-10年,大专,天津·西青·精武镇,天津博广盛建筑工程有限公司,"20-99人
         
          工程施工"
物业项目人事行政专员（单休）,4000-6000元,"招聘
员工关系",1-3年,大专,天津·西青·大寺,天红(天津)企业管理咨询集团有限公司,"民营
         
          100-299人
         
          酒店/民宿"
坐岗人力资源专员6000~10000/月,6000-10000元,招聘,经验不限,学历不限,天津·西青·大寺,天津市景熙人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
高级人事行政专员,5000-8000元,,3-5年,学历不限,天津·南开·水上公园,中利建通(天津)建设工程有限公司,"民营
         
          20人以下
         
          工程施工"
