职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
财务出纳,4000-8000元,"会计初级职称
周末双休
五险一金",经验不限,本科,天津·东丽·军粮城,中航百慕新材料技术工程股份有限公司,"股份制企业
         
          100-299人
         
          石油/石化"
财务出纳双休,6000-8000元,,1-3年,学历不限,天津·和平·五大道,四川嘉才驿人力资源有限公司,"20-99人
         
          人力资源服务"
出纳财务,4000-6000元,"会计初级职称
五险
包吃包住",1-3年,本科,天津·滨海新区·寨上,大连贵和船舶舾装有限公司,"民营
         
          100-299人
         
          船舶/航空/航天/火车制造"
出纳,4000-5000元,"会计初级职称
五险一金",3-5年,本科,天津·东丽·华明,天津新华科技发展集团有限公司,"民营
         
          300-499人
         
          房地产开发"
财务出纳双休,6000-8000元,,1-3年,学历不限,天津·河北·光复道,四川嘉才驿人力资源有限公司,"20-99人
         
          人力资源服务"
财务出纳,6000-8000元,,1-3年,大专,天津·东丽·军粮城,合纵科技股份有限公司,"上市公司
         
          1000-9999人
         
          电力/水利/热力/燃气"
出纳员,4000-5000元,"会计初级职称
五险一金
周末双休
包吃包住",1-3年,大专,天津·滨海新区·杭州道,天津铭源建筑工程有限公司,"民营
         
          500-999人
         
          专业技术服务"
出纳,3000-5000元,出纳经验,经验不限,大专,天津·科技谷,天津市天河欣德物业服务有限公司,"民营
         
          100-299人
         
          物业管理"
出纳,7000-8000元,周末双休,经验不限,学历不限,天津·和平·小白楼,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
出纳专员,4000-5000元,"会计从业资格证书
五险一金
环境氛围好",3-5年,大专,天津·武清·东蒲洼,中特价格评估(天津)有限公司,"民营
         
          20-99人
         
          专业技术服务"
出纳员,2000-4000元,"收款收据
现金、银行存款日记账
银行对账
现金、银行收付
工资发放",3-5年,本科,天津·八里台,天津市天健科贸有限公司,"民营
         
          100-299人
         
          医疗设备/器械"
