职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
销售运营,5000-8000元,,经验不限,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
民营医疗-SMB主管,面议,,1-3年,本科,天津,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
食品配料销售客户经理,1.5-2.2万,,3-5年,大专,天津·西青·西营门,中食汇联(天津)科技有限公司,"民营
         
          20-99人
         
          贸易/进出口"
销售,8000-12000元,"新零售
日化
电子商务
O2O
房地产",经验不限,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
电梯销售,5000-8000元,"建筑业
面销",经验不限,大专,天津·东丽·华明,天津祥泰机电工程有限公司,"股份制企业
         
          20人以下
         
          建筑设备安装"
食品香精及添加剂销售,1.2-2万,,3-5年,大专,天津·西青·西营门,中食汇联(天津)科技有限公司,"民营
         
          20-99人
         
          贸易/进出口"
销售经理（宠物医药领域）,4000-8000元,"动物医学
宠物医药
宠物医院
干细胞技术
动物药学",无经验,大专,天津·东丽·华明,天津百恩生物科技有限公司,"民营
         
          20-99人
         
          医药制造"
销售业务员（天津东丽）,5000-10000元·13薪,"物流仓储
企业客户（2B）
销售专员
网络销售
电话销售
门店销售",3-5年,大专,天津·东丽·军粮城,广西板邦供应链集团有限公司,"民营
         
          20-99人
         
          网络/信息安全"
快消品业务员,5000-10000元,代理商销售,1-3年,高中,天津·北辰·宜兴埠,天津市谷丰商贸有限公司,"民营
         
          20-99人
         
          快速消费品"
业务销售员,5000-9000元,"渠道销售
面销/陌拜
地推销售
食品/饮料
地推
不出差
五险
高提成",经验不限,高中,天津·东丽·新立,天津益佰旺商贸有限公司,"民营
         
          20-99人
         
          食品/饮料"
业务员销售,6000-7000元,"地推销售
渠道销售
面销/陌拜",1-3年,中专/中技,天津·津南·双港,天津亚恒丰野商贸有限公司,"民营
         
          100-299人
         
          贸易/进出口"
中央空调销售业务员,5000-9000元,"面销/陌拜
渠道销售
会议/会展销售",1-3年,学历不限,天津·东丽·万新,天津迅杰电器销售有限公司,"民营
         
          20-99人
         
          家具/家居/家电"
销售业务员,6000-10000元,"烟酒
食品/饮料
个人客户（2C）",经验不限,学历不限,天津·东丽·华明,河南惠方商贸有限公司,"民营
         
          100-299人
         
          快速消费品"
销售人员,5000-10000元,3c电子产品,1-3年,大专,天津·和平·南市,天津市广景商贸有限公司,"民营
         
          20-99人
         
          零售/批发"
高端白酒销售,5000-10000元,"渠道销售
门店销售",1-3年,中专/中技,天津·滨海新区·新北,天津顶立集团有限公司,"100-299人
         
          快速消费品"
快消品销售（食品包装）,7000-10000元,"面销/陌拜
渠道销售
代理商销售
年终奖金
周末双休
五险
节日福利",3-5年,本科,天津·西青·李七庄,天津百瑞高分子材料有限公司,"国企
         
          20-99人
         
          橡胶和塑料制品"
团购销售主管,6000-12000元,"食品/饮料
烟酒",1-3年,大专,天津·西青·李七庄,天津市津友会商贸有限公司,"民营
         
          20-99人
         
          快速消费品"
销售业务员,5000-10000元,,经验不限,学历不限,天津·滨海新区·新北,天津顶立集团有限公司,"100-299人
         
          快速消费品"
天津塘沽区宠物食品、药品销售,5000-10000元,"面销/陌拜
地推销售
个人客户
企业客户",1-3年,大专,天津·东丽·华明,天津中瑞供应链管理有限公司,"股份制企业
         
          300-499人
         
          医药批发/零售"
销售员,5000-8000元,电力,3-5年,大专,天津·津南·双港,天津浩源永亨电力科技有限公司,"民营
         
          20-99人
         
          工程施工"
销售代表,9000-10000元,"地推销售
渠道销售
代理商销售
KA大客户
企业客户
个人客户
驾驶证
私家车
五险",1-3年,大专,天津·东丽·丰年村,天津市巨顺轮胎有限公司,"民营
         
          20-99人
         
          零售/批发"
快消品销售,6000-10000元,面销/陌拜,经验不限,中专/中技,天津·北辰·双口,天津宏宸宇商贸有限公司,"民营
         
          20-99人
         
          快速消费品"
销售,6000-12000元,,经验不限,学历不限,天津·南开·向阳路,优易嘉电缆(天津)有限公司,"民营
         
          20-99人
         
          建材"
