职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
电商运营,7000-14000元,"淘宝/天猫
京东
拼多多
店铺运营
EBAY、3C电子、数据运营
销售运营
店长",1-3年,本科,天津·津南·双港,华尔盛世(天津)科技有限公司,"民营
         
          20-99人
         
          互联网"
阿里巴巴运营,5000-7000元,"1688
阿里巴巴国际站
店长",5-10年,本科,天津·北仓,天津庆泽钢铁销售有限公司,"民营
         
          20-99人
         
          贸易/进出口"
拼多多运营,4000-6000元,"拼多多
店长",1-3年,大专,天津·西青·张家窝,柯瑞柯林工业系统集成(天津)有限公司,"民营
         
          100-299人
         
          电子商务"
电商经理,7000-10000元,经理,3-5年,大专,天津·津南·双港,天津创世纪商业管理有限公司,"民营
         
          500-999人
         
          新零售"
国内电商运营,6000-12000元,,3-5年,大专,天津·华明,智医朝前互联网医院(天津)有限公司,"医院
         
          20-99人
         
          在线医疗"
电商运营(J10194),6000-8000元,"京东
拼多多
淘宝/天猫",1-3年,本科,天津·和平·劝业场,天津老美华鞋店有限责任公司,"民营
         
          300-499人
         
          零售/批发"
拼多多运营（代运营+多品类）,4000-8000元,"拼多多
店长",1-3年,大专,天津·南开·鼓楼,天津市众千橙亿科技有限公司,"民营
         
          20-99人
         
          互联网"
电商助理 （线上兼职）,50-100元,"助理
时间自由
远程办公
线上兼职",经验不限,学历不限,天津·西青·西营门,武汉市琼华咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
电商运营专员,5000-7000元,,1-3年,大专,天津·武清·陈咀,天津市顺和成食品股份有限公司,"股份制企业
         
          100-299人
         
          快速消费品"
电商运营专员（拼多多）,4000-8000元,"拼多多
店长",1-3年,大专,天津·南开·鼓楼,天津市众千橙亿科技有限公司,"民营
         
          20-99人
         
          互联网"
网络店铺运营专员,8000-9000元,"淘宝/天猫
拼多多
抖音小店
主管
经理
店铺运营",1-3年,学历不限,天津·津南·北闸口,合亿(天津)科技有限公司,"民营
         
          20-99人
         
          新材料"
主播,5000-10000元,"淘宝/天猫
拼多多
抖音小店",1-3年,学历不限,天津·西青·中北,天津市嘉美士涂料科技有限公司,"民营
         
          20-99人
         
          房地产开发"
拼多多运营店长（代运营店长）,6000-10000元,"国内电商平台
拼多多
店铺运营",1-3年,大专,天津·南开·鼓楼,天津市众千橙亿科技有限公司,"民营
         
          20-99人
         
          互联网"
国内电商运营,6000-10000元,"淘宝/天猫
京东
拼多多
主管",1-3年,本科,天津·大王古庄,天津唐仁生物科技有限公司,"民营
         
          20-99人
         
          农/林/牧/渔"
电商运营经理,8000-16000元,"经理
主管",5-10年,大专,天津·滨海新区·杭州道,河南星云农业有限公司,"20人以下
         
          投资/融资"
电商运营专员,5000-8000元,"淘宝/天猫
京东
1688",1-3年,大专,天津·西青·中北,菲尔自动化技术(天津)有限公司,"股份制企业
         
          20-99人
         
          仪器仪表制造"
电商运营,6000-10000元,"店铺运营
淘宝/天猫
京东
拼多多
主管
经理",1-3年,本科,天津·武清·大王古庄,天津唐仁生物科技有限公司,"民营
         
          20-99人
         
          农/林/牧/渔"
电商运营,6000-8000元·13薪,"京东
淘宝/天猫",3-5年,大专,天津·东丽·军粮城,天津创源生物技术有限公司,"合资
         
          300-499人
         
          医药制造"
电商运营,5000-8000元,"主管
招合伙人我来投资
抖音小店
直播电商
抖音
经理",1-3年,学历不限,天津·西青·中北,天津市嘉美士涂料科技有限公司,"民营
         
          20-99人
         
          房地产开发"
眼科业务实习生,100-150元/天,,无经验,本科,天津·西青·精武镇,中国大冢制药有限公司,"合资
         
          500-999人
         
          医药制造"
电商运营助理,6000-8000元·13薪,"淘宝/天猫
京东
拼多多",3-5年,大专,天津·武清·东蒲洼,北京瑞迈特医疗科技股份有限公司,"民营
         
          500-999人
         
          医疗设备/器械"
拼多多运营,6000-12000元,"拼多多运营
店铺运营
拼多多
商家运营",1-3年,学历不限,天津·武清·徐官屯,天津德敬科技有限公司,"民营
         
          20-99人
         
          电子商务"
电商运营负责人,1-1.5万,"拼多多
抖音小店
京东
经理
总监
直播经验",5-10年,大专,天津·东丽·新立,天津桃李满园食品有限公司,"股份制企业
         
          100-299人
         
          食品/饮料"
招聘京东运维,6000-10000元,京东,3-5年,学历不限,天津·河西·陈塘庄,天津品源供应链有限公司,"民营
         
          20-99人
         
          电子商务"
药品电商运营专员,3000-4000元,,1年以下,大专,天津·北辰·双口,天津九州通达医药有限公司,"上市公司
         
          300-499人
         
          医药制造"
京东运营（食品、饮料）,7000-12000元,"淘宝/天猫
京东
抖音小店
店长
京东自营",3-5年,大专,天津·东丽·新立,天津桃李满园食品有限公司,"股份制企业
         
          100-299人
         
          食品/饮料"
京东自营店铺运营,8000-15000元,京东,1-3年,学历不限,天津·河西·陈塘庄,天津品源供应链有限公司,"民营
         
          20-99人
         
          电子商务"
电商文员,5000-7000元,"淘宝/天猫
京东
拼多多",1-3年,本科,天津·河东·大王庄,今麦郎食品股份有限公司,"民营
         
          10000人以上
         
          快速消费品"
国内电商运营,8000-12000元,"淘宝/天猫
京东
拼多多
主管",经验不限,学历不限,天津·和平·南市,天津金九洲科技有限公司,"民营
         
          20-99人
         
          计算机硬件"
电商运营,6000-12000元,"电商类目运营
快消品电商运营",1-3年,大专,天津·红桥·西于庄,中英食品有限公司,"民营
         
          20-99人
         
          快速消费品"
拼多多运营,5000-10000元,拼多多,1-3年,大专,天津·西青·杨柳青,天津市百嘉进商贸有限公司,"其它
         
          20-99人
         
          快速消费品"
电商运营,6000-12000元,,1-3年,学历不限,天津·小白楼,天津美时美刻食品有限公司,"20-99人
         
          电子商务"
电商销售业务员,6000-8000元,"店铺运营
B2B",3-5年,大专,天津·南开·向阳路,天津渤海轻工投资集团有限公司,"国企
         
          20-99人
         
          通用设备制造"
电商运营,4000-8000元,"淘宝/天猫
京东
拼多多",1-3年,大专,天津·河西·天塔,天津市河西万川电子商务有限公司,"民营
         
          20-99人
         
          电子商务"
电商运营客服,3000-4000元,"拼多多
抖音小店
淘宝/天猫
助理",1年以下,大专,天津·北辰·西堤头,天津恒麦国际贸易有限公司,"民营
         
          20-99人
         
          零售/批发"
有经验的看过来！京东运营专员（五险一金）,5000-9000元,"京东
店长",1-3年,学历不限,天津·西青·精武镇,天津市奇凡科技有限公司,"民营
         
          20-99人
         
          互联网"
国内电商运营,4000-8000元,"淘宝/天猫
京东
拼多多",无经验,大专,天津·天塔,天津市河西万川电子商务有限公司,"民营
         
          20-99人
         
          电子商务"
电商运营主管,8000-15000元,"京东
拼多多
淘宝/天猫
主管",3-5年,大专,天津·北辰·双口,天津军鑫科技发展有限公司,"民营
         
          100-299人
         
          互联网"
电商运营专员,6000-8000元,"淘宝/天猫
京东
拼多多",3-5年,大专,天津·武清·崔黄口,天津赫莱恩特生物科技有限公司,"民营
         
          100-299人
         
          医药制造"
电商运营经理,5000-10000元,"淘宝/天猫
京东
抖音小店
主管",3-5年,大专,天津·津南·双港,天津市暖能宝科技发展有限公司,"20人以下
         
          电气机械/电力设备"
电商运营经理（文创产品）+双休,1.2-1.5万,"抖音小店
经理
文创产品",5-10年,本科,天津·南开·万兴,天津市和平区第壹培训学校有限责任公司,"民营
         
          300-499人
         
          培训/辅导服务"
电商运营专员,6000-8000元,"抖音小店
电商运营
专员",3-5年,大专,天津·武清·崔黄口,天津赫莱恩特生物科技有限公司,"民营
         
          100-299人
         
          医药制造"
阿里巴巴国际站电商运营,5000-8000元,,1-3年,学历不限,天津·南开·万兴,北京碧成达科技有限公司,"民营
         
          20-99人
         
          贸易/进出口"
电商运营,4000-6000元,"淘宝/天猫
拼多多
京东",1-3年,大专,天津·河东·大王庄,传奇伟业国际贸易(天津)有限公司,"民营
         
          20-99人
         
          贸易/进出口"
货架电商运营经理,1.5-2万,"淘宝/天猫
京东",3-5年,本科,天津·和平·劝业场,天津仕铭人力资源服务有限公司,"民营
         
          100-299人
         
          人力资源服务"
电商商务运营主管（兴趣电商方向-鞋类）,3000-6000元,,3-5年,本科,天津·东丽·华明,天津军汇丰科技有限公司,"其它
         
          20-99人
         
          物业管理"
商城运营主管,5000-10000元,"京东
1688
主管
工业品平台",5-10年,本科,天津·西青·张家窝,安环健科技集团有限公司,"20-99人
         
          电子商务"
电商运营（蓝卡商城）,8000-15000元,"自有平台
有赞
经理",5-10年,大专,天津·滨海新区·北塘,天津蓝卡健康科技有限公司,"民营
         
          300-499人
         
          在线医疗"
京东工业品运营专员,5000-10000元,京东,1-3年,大专,天津·东丽·金钟,天津瑞派商贸有限公司,零售/批发
抖音店铺运营,8000-16000元,"店铺运营
抖音小店",1-3年,学历不限,天津·津南·双港,宁津睿丰环保设备有限公司,"20人以下
         
          汽车零部件"
电商运营,3000-6000元,京东,1-3年,大专,天津·西青·中北,天津市宏琪贸易有限公司,"民营
         
          20-99人
         
          电子商务"
电商运营专员,5000-6000元,"抖音小店
拼多多
京东",3-5年,学历不限,天津·东丽·金钟,天津市宇凡启航人力资源有限公司,"股份制企业
         
          100-299人
         
          人力资源服务"
电商运营,6000-10000元,"助理
淘宝/天猫
京东
拼多多",无经验,本科,天津·武清·杨村,北京金益润农科技有限公司,"民营
         
          20-99人
         
          农/林/牧/渔"
电商运营助理,3000-4000元,京东,1-3年,大专,天津·西青·中北,天津市宏琪贸易有限公司,"民营
         
          20-99人
         
          电子商务"
1688运营,5000-10000元,"淘宝/天猫
京东
1688",经验不限,学历不限,天津·东丽·华明,天津市桐文昕涂料有限公司,"民营
         
          20-99人
         
          建材"
电商运营专员 (MJ000035),1.3-1.6万,经理,1-3年,本科,天津·西青·大寺,天津力生制药股份有限公司,"国企
         
          500-999人
         
          医药制造"
电商运营主管,5000-10000元,"淘宝/天猫
京东
抖音小店
主管",1-3年,大专,天津·东丽·新立,天津小虎科技集团有限公司,"民营
         
          100-299人
         
          摩托车/自行车制造"
