职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
档案管理后勤,7000-9000元,,经验不限,学历不限,天津·河西·越秀路,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
档案整理/行政班次/月休4天/长白班/纯文职,4000-5000元,"档案录入
档案整理
档案数字化",经验不限,大专,天津·西青·中北,天津众睿人力资源服务有限公司,"民营
         
          100-299人
         
          企业服务"
早九晚五央企档案管理（售后岗）,6000-9000元,"档案录入
档案整理",经验不限,大专,天津·滨海新区·杭州道,中国人寿保险股份有限公司天津市滨海新区中心支公司(玉礼团队),"10000人以上
         
          保险"
档案管理后勤,7000-9000元,,经验不限,学历不限,天津·南开·兴南,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
档案整理/纯文职/行政班次/月休4天/长白班,4000-5000元,"档案录入
档案整理
档案数字化",经验不限,大专,天津·西青·中北,天津众睿人力资源服务有限公司,"民营
         
          100-299人
         
          企业服务"
四点下班-档案管理员-双休（暂招2名）,6000-8000元,"档案录入
档案整理",经验不限,大专,天津·滨海新区·杭州道,中国人寿保险股份有限公司天津市滨海新区中心支公司(玉礼团队),"10000人以上
         
          保险"
档案管理后勤,7000-9000元,,经验不限,学历不限,天津·和平·小白楼,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
档案管理实习生(J10965),130-150元/天,"档案录入
档案整理",无经验,本科,天津·东丽·军粮城,康希诺生物股份公司,"上市公司
         
          1000-9999人
         
          生物工程"
售后档案管理员双休不加班 6-9k 13薪,6000-10000元,"档案整理
档案录入",经验不限,大专,天津·滨海新区·杭州道,中国人寿保险股份有限公司天津市滨海新区中心支公司(玉礼团队),"10000人以上
         
          保险"
档案项目专员,4000-7000元,"档案整理
档案录入
档案数字化
行政助理
项目管理",经验不限,大专,天津·西青·张家窝,天津嘉能电力技术有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
国企 售后档案管理 不加班 双休有人教,5000-8000元,"售后服务
全白班
双休",经验不限,大专,天津·滨海新区·塘沽,中国人寿保险股份有限公司天津市分公司,"国企
         
          500-999人
         
          保险"
档案管理员 早9晚5周末双休,6000-8000元,"档案录入
档案整理",经验不限,大专,天津·滨海新区·杭州道,中国人寿保险股份有限公司天津市滨海新区中心支公司(玉礼团队),"10000人以上
         
          保险"
客户档案管理,5000-8000元,档案整理,经验不限,大专,天津·滨海新区·杭州道,中国人寿保险股份有限公司天津市滨海新区中心支公司,"国企
         
          20-99人
         
          保险"
室内文职/档案整理/恒温/白班有午休/多劳多得,4000-6000元,稳定性高,经验不限,学历不限,天津·西青·中北,天津众睿人力资源服务有限公司,"民营
         
          100-299人
         
          企业服务"
客户档案资料整理专员,8000-12000元,,1-3年,大专,天津·河东·大直沽,天津润铭企服人力资源服务有限公司,"民营
         
          20-99人
         
          人力资源服务"
档案管理岗五险一金双休7500+不销售,8000-10000元,"档案录入
档案数字化
档案整理",经验不限,大专,天津·河西·桃园,中国人寿保险股份有限公司沭阳支公司第五营销服务部,"民营
         
          20-99人
         
          保险"
管餐天津档案扫描录入员,4000-6000元,"档案录入
档案数字化
档案整理",1年以下,学历不限,天津·滨海新区·新北,江西锦海企业管理有限公司,"民营
         
          100-299人
         
          人力资源服务"
央企 档案管理员每天4点半准时下班 周末双休,6000-9000元,档案整理,经验不限,大专,天津·滨海新区·杭州道,中国人寿保险股份有限公司天津市滨海新区中心支公司(玉礼团队),"10000人以上
         
          保险"
档案整理文员/纯文职/轻松不累/八小时工作制/有午休/办公室氛围轻松,3000-5000元,"轻松不累
纯文职
经验不限",经验不限,大专,天津·西青·中北,天津众睿人力资源服务有限公司,"民营
         
          100-299人
         
          企业服务"
管餐周结138天津档案扫描员,5000-6000元,"档案数字化
档案录入
档案整理",1-3年,大专,天津·滨海新区·新北,江西锦海企业管理有限公司,"民营
         
          100-299人
         
          人力资源服务"
双休五险一金档案管理员,8000-12000元,"档案录入
档案整理",经验不限,学历不限,天津·武清·东蒲洼,蜜蜂速聘(天津)科技有限公司,"其它
         
          100-299人
         
          企业服务"
央企档案管理员双休,5000-6000元,档案录入,无经验,大专,天津·静海·静海镇,中国人寿保险股份有限公司天津市静海区支公司,"股份制企业
         
          10000人以上
         
          保险"
档案管理资料员,8000-12000元,"档案录入
档案整理
保密管理",经验不限,大专,天津·和平·小白楼,中国人寿保险股份有限公司天津市和平区支公司,"国企
         
          1000-9999人
         
          保险"
综合及档案管理,6000-8000元,"档案整理
档案管理体系建设",1-3年,本科,天津·河西·尖山,天津光电集团有限公司,"国企
         
          1000-9999人
         
          电子/半导体/集成电路"
早九晚四央企档案管理（售后岗）,4000-5000元,档案录入,经验不限,大专,天津·静海·静海镇,中国人寿保险股份有限公司天津市静海区支公司,"股份制企业
         
          10000人以上
         
          保险"
天津档案扫描录入员140/天,4000-5000元,档案数字化,经验不限,学历不限,天津·滨海新区·新北,江西锦海企业管理有限公司,"民营
         
          100-299人
         
          人力资源服务"
央企档案管理（可考编）,5000-8000元,,无经验,大专,天津·南开·鼓楼,中国人寿保险股份有限公司天津市南开区支公司(城区营销团队),"国企
         
          10000人以上
         
          保险"
职称落户档案专员,4000-5000元,劳动法,经验不限,本科,天津·滨海新区·杭州道,天津瑞洋海洋工程有限公司,"民营
         
          500-999人
         
          石油/石化"
档案管理及综合,4000-6000元,,1-3年,大专,天津·东丽·军粮城,天津跃峰科技股份有限公司,"股份制企业
         
          100-299人
         
          船舶/航空/航天/火车制造"
文档管理员,5000-7000元,"档案录入
档案整理
档案数字化",经验不限,大专,天津·和平·小白楼,中国人寿保险股份有限公司天津市和平区支公司(笙泉团队),"1000-9999人
         
          保险"
档案管理员,4000-5000元,"档案录入
档案整理
档案管理体系建设",1-3年,大专,天津·滨海新区·海滨,天津滨海新区煜辉控股集团有限公司,"民营
         
          20-99人
         
          专业技术服务"
