职位,薪水,关键词,工作经验,学历,公司,工作地址,公司情况
法务实习生（天津）,100-120元/天,合同事务,无经验,本科,国网数字科技控股有限公司,天津·河北·光复道,"国企
         
          1000-9999人
         
          电子商务"
法务（诉讼岗）,6000-10000元,"债权债务
劳动纠纷
司法仲裁
律师事务所
中型企业
大型企业",1-3年,本科,天津司柠科技有限公司,天津·和平·五大道,"民营
         
          20-99人
         
          工程技术与设计服务"
外贸法务,9000-14000元,A类法律职业资格证,1-3年,本科,天津市旅游(控股)集团有限公司,天津·滨海新区·茶淀,"国企
         
          1000-9999人
         
          餐饮服务"
法律事务专员,1-1.3万·13薪,"合同事务
劳动纠纷
司法仲裁",1-3年,本科,天津津荣天宇精密机械股份有限公司,天津·西青·张家窝,"上市公司
         
          1000-9999人
         
          仪器仪表制造"
法务专员,5000-7000元,合同事务,1-3年,本科,天浩工程技术服务(天津)有限公司,天津·滨海新区·杭州道,"民营
         
          1000-9999人
         
          人力资源服务"
法务专员,5000-7000元,诉讼,1-3年,本科,神羊(天津)法律咨询有限公司,天津·滨海新区·杭州道,"其它
         
          20-99人
         
          法律服务"
法务专员,7000-8000元,"劳动纠纷
合同事务
司法仲裁
上市企业",1-3年,本科,新东方教育科技集团有限公司,天津·南开·兴南,"上市公司
         
          10000人以上
         
          培训/辅导服务"
法务催收专员,5000-8000元,"债权债务
司法仲裁",3-5年,本科,天津洪晟基业建材有限公司,天津·西青·杨柳青,"民营
         
          20-99人
         
          房地产开发"
法务专员（非诉方向）,6000-10000元,"劳动纠纷
合同事务",1-3年,本科,天津合生生物科技有限公司,天津·西青·大寺,"民营
         
          20-99人
         
          生物工程"
公司法务,6000-9000元,"合同事务
债权债务
律师执业证",3-5年,本科,天津华惠安信建设工程有限公司,天津·武清·梅厂,"国企
         
          100-299人
         
          房地产开发"
法务专员,6000-8000元,A类法律职业资格证,1-3年,本科,北京电子量检测装备有限责任公司,天津·东丽·万新,"国企
         
          100-299人
         
          仪器仪表制造"
法务专员,8000-12000元,法律咨询,5-10年,本科,天津神州亿隆工程管理咨询有限公司,天津·河东·大王庄,"民营
         
          100-299人
         
          房地产开发"
法务专员/主管,7000-10000元,"劳动纠纷
司法仲裁
合同事务
A类法律职业资格证",5-10年,本科,天津市尧舜实业集团有限公司,天津·静海·大丰堆,"民营
         
          500-999人
         
          金属制品业"
法务专员,6000-8000元,制造业,经验不限,本科,天津渤化工程有限公司,天津·南开·万兴,"国企
         
          100-299人
         
          石油/石化"
法务专员,1.2-2万,,3-5年,硕士,华海智汇技术有限公司,天津·滨海新区·杭州道,"合资
         
          500-999人
         
          通信/网络设备"
法务助理,2000-3000元,,1年以下,大专,天津市法保网企业服务有限公司,天津·滨海新区·塘沽,"民营
         
          100-299人
         
          企业服务"
诉讼专员,3000-5000元,,经验不限,大专,天津市立川物业管理有限公司,天津·蓟州·文昌,"民营
         
          100-299人
         
          物业管理"
法务专员,5000-10000元,劳动纠纷,1-3年,本科,天津市北洋华邦保安服务有限公司,天津·南开·体育中心,"民营
         
          500-999人
         
          专业技术服务"
法务专员,7000-10000元·13薪,"司法仲裁
合同事务",1-3年,本科,天津药物研究院,天津·滨海新区·北塘,"其它
         
          1000-9999人
         
          科学技术推广"
办公室专员,3000-5000元,,5-10年,本科,通用咨询（天津）有限公司/General Consulting International,天津·河西·下瓦房,"外商独资
         
          20-99人
         
          咨询服务"
法务助理,3000-5000元,中型企业,经验不限,大专,天津市法保网企业服务有限公司,天津·滨海新区·塘沽,"民营
         
          100-299人
         
          企业服务"
法务专员,7000-10000元,"律师执业证
集团公司
司法仲裁
合同事务
股权业务
大型企业
法律职业资格证",1-3年,本科,天津市精美特表面技术有限公司,天津·东丽·新立,"合资
         
          500-999人
         
          汽车研发/制造"
集团法务专员,3000-4000元,,1-3年,本科,天津茂汇物业管理有限公司,天津·津南·咸水沽,"民营
         
          20-99人
         
          物业管理"
行政法务专员（总经理助理）,5000-10000元,"劳动纠纷
知识产权业务
司法仲裁",3-5年,大专,潮亿科技集团有限公司,天津·北辰·宜兴埠,"股份制企业
         
          300-499人
         
          汽车4S店/经销商"
【可出实习证明】法务助理,1000-2000元,,无经验,大专,天津市法保网企业服务有限公司,天津·滨海新区·塘沽,"民营
         
          100-299人
         
          企业服务"
法务专员物业方向,5000-8000元,"债权债务
律师事务所
司法仲裁",经验不限,大专,天津华拓新诺法律咨询有限公司,天津·河东·春华,"民营
         
          20-99人
         
          法律服务"
公司法务,7000-10000元,集团公司,5-10年,本科,天一建设集团,天津·西青·西营门,"民营
         
          1000-9999人
         
          房地产开发"
制造业（机械、装备制造）-法务专员,6000-12000元,合规管理,3-5年,本科,天津市正方科技发展有限公司,天津·滨海新区·古林,"股份制企业
         
          500-999人
         
          石油/石化"
