职业,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
线上销售专员,8000-16000元,个人客户,经验不限,学历不限,天津·南开·向阳路,天津膜界传奇科技有限公司,"20-99人
         
          汽车后市场"
上班没人管|会讲普通话就入职|无责7k,6000-12000元,"会讲普通话就行
没有任务要求
不加班",无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
网销招生顾问,6000-12000元·13薪,"个人客户
院校客户
医疗机构
网络销售
销售专员
招生老师",经验不限,大专,天津·河西·陈塘庄,天津黎瞳教育咨询服务有限公司,"民营
         
          20-99人
         
          学校/学历教育"
00后老板+无责底薪4000+5%提成+住宿全免,6000-8000元,高提成 年轻化,经验不限,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
月入过万不是梦/底薪7K/不加班,7000-14000元,"不加班
没有KPI
精准客户资源",经验不限,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
来来来、面试就入职的岗位 (MJ025536),6000-12000元,"企业客户
个人客户
无责底薪
双休",经验不限,学历不限,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
销售实习生,150-200元/天,年轻有活力,无经验,初中及以下,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
电商销售经理,6000-12000元,"企业客户
个人客户",经验不限,学历不限,天津·北辰·天穆,天津一度供应链有限公司,"民营
         
          20-99人
         
          电子商务"
互联网大厂+销售客服+周末双休+五险一金,1-1.5万·13薪,"销售兴趣
个人客户",经验不限,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
00后团+包住宿+免费旅游+销售,4000-8000元,年轻化，氛围好,经验不限,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
4s店网销专员,5000-7000元,,经验不限,学历不限,天津·东丽·华明,天津名君汽车贸易有限公司,"20-99人
         
          汽车4S店/经销商"
网络销售专员,5000-10000元,企业客户,3-5年,学历不限,天津·津南·小站,燕赵巧匠工程实业有限公司,"20-99人
         
          工程施工"
9点上班（下班必须走）底薪7K+提成当月拿,9000-14000元·13薪,"企业客户
个人客户
五险一金
无需外出
对接ERP系统",经验不限,学历不限,天津·南开·万兴,金助理(天津)信息咨询有限公司,"其它
         
          20-99人
         
          咨询服务"
网销专员/家居销售/销售顾问,1-1.8万,个人客户,1-3年,中专/中技,天津·西青·大寺,天津市欧派智家科技有限公司,"民营
         
          500-999人
         
          装饰装修"
无责底薪5000/高提成/不加班/月入过万,7000-13000元,"办公室坐班
全职",无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
国际海运销售,8000-15000元,,经验不限,学历不限,天津·河西·陈塘庄,瑞迪供应链管理(天津)有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
互联网销售主管双休,8000-13000元,"企业客户
团队管理经验",经验不限,大专,天津·滨海新区·塘沽,天津市法保网企业服务有限公司,"民营
         
          100-299人
         
          企业服务"
今天面试明天上岗！！月薪1w+公司氛围超棒,7000-12000元,"办公室坐班
个人客户",经验不限,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
电商销售经理 贝壳找房 房屋租赁专员 无责底薪+五险一金+提成,8000-16000元,"KA大客户
企业客户
个人客户",经验不限,学历不限,天津·滨海新区·大沽,贝壳找房(北京)科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
网络咨询师（产后康复科）,3000-6000元,,1-3年,学历不限,天津·河西,天津坤如玛丽妇产医院,"民营
         
          300-499人
         
          卫生服务"
努力搬砖成就美丽人生+底薪7000无考核,7000-12000元,"冰箱微波炉 节日福利
团建聚餐 零食下午茶",无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
国央企上班-底薪7K+入职当月6险1金-高端新能源-DCC汽车线索挖掘,1.5-3万,"线下办公
抖音",1年以下,大专,天津·西青·大寺,深圳南区人瑞人力资源服务有限公司,"上市公司
         
          10000人以上
         
          企业服务"
私域销售主管,8000-12000元,,1-3年,大专,天津·南开·学府,星启航(天津)电子商务有限公司,"民营
         
          20人以下
         
          电子商务"
销售顾问/高薪/就近分配/五险,8000-10000元,"个人客户
销售",经验不限,学历不限,天津·武清·杨村,天津市郡利达房屋信息咨询有限公司,"民营
         
          100-299人
         
          房地产中介"
新能源汽车网销专员DCC,4000-8000元,,经验不限,学历不限,天津·北辰·天穆,青桔(天津)汽车销售服务有限公司,"民营
         
          20-99人
         
          零售/批发"
私域销售经理,6000-12000元,,1-3年,大专,天津·南开·学府,星启航(天津)电子商务有限公司,"民营
         
          20人以下
         
          电子商务"
化学化工网络销售,6000-12000元,"个人客户
医疗机构",经验不限,本科,天津·西青·西营门,天津赛寞气体销售有限责任公司,"民营
         
          20-99人
         
          化工"
销售岗位,5000-10000元,线上销售,1年以下,学历不限,天津·滨海新区·北塘,天津市腾达卓学教育科技有限责任公司,"学校/下级学院
         
          20-99人
         
          培训/辅导服务"
可带朋友一起，面试通过就上班 无KPI考核,7000-12000元,,无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
网络销售,3000-6000元,"企业客户
KA大客户",无经验,大专,天津·西青·大寺,天津市瑞泽营销策划有限公司,"民营
         
          10000人以上
         
          人工智能"
网络咨询师,5000-10000元,个人客户,1-3年,学历不限,天津·河西·柳林,天津河西弘轩中医诊所有限公司,"民营
         
          20-99人
         
          医院"
初创公司 不加班无考核人均90 00后,7000-12000元,"冰箱微波炉 节日福利
团建聚餐 零食下午茶",无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
电话网络销售,4000-8000元,"企业客户
网络销售
电话销售
人力资源",经验不限,大专,天津·和平·南市,智联招聘,"其它
         
          1000-9999人
         
          互联网"
网络销售,5000-10000元,"企业客户
电话销售
终端客户
工业润滑油",1-3年,大专,天津·东丽·华明,美博德生态科技(天津)有限公司,"民营
         
          20人以下
         
          石油/石化"
电商销售经理,4000-8000元,"销售经理
KA大客户
企业客户
政府客户
专业专注",1-3年,本科,天津·西青·张家窝,安环健科技集团有限公司,"20-99人
         
          电子商务"
电商销售业务员,4000-8000元,"个人客户
企业客户",经验不限,学历不限,天津·南开·体育中心,津韵易达(天津)科技有限公司,"民营
         
          20-99人
         
          互联网"
网络销售（双休）,8000-15000元,企业客户,经验不限,学历不限,天津·滨海新区·杭州道,振兴伟业财税服务(天津)有限公司,"其它
         
          20-99人
         
          财务/审计/税务"
互联网销售,5000-10000元,"KA大客户
企业客户
政府客户",1-3年,大专,天津·红桥·芥园,百墅(河北)电气机械有限公司,"100-299人
         
          金属制品业"
网络销售专员,100-120元/天,个人客户,无经验,大专,天津·河西·越秀路,优尼达斯(天津)科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
网络咨询,5000-7000元,个人客户,1-3年,大专,天津·河西·桃园,普瑞眼科医院集团股份有限公司,"民营
         
          1000-9999人
         
          卫生服务"
电商操作员,4000-6000元,,1-3年,大专,天津·津南·双港,成都康惠净科技有限公司,"合资
         
          100-299人
         
          医疗设备/器械"
私域销售,6000-12000元,,1-3年,学历不限,天津·南开·学府,星启航(天津)电子商务有限公司,"民营
         
          20人以下
         
          电子商务"
轻松赚钱（网络销售岗）不加班+底薪+高提成+季度奖金+年终奖+五险一金 收入看努力,1-2万,企业客户,经验不限,大专,天津·北辰·北仓,天津亿佰鑫钢铁集团有限公司,"民营
         
          20-99人
         
          金属制品业"
团队年轻 奖金丰厚 免费端口,9000-17000元,"个人客户
KA大客户
医疗机构",经验不限,学历不限,天津·南开·广开,天津链家,"民营
         
          1000-9999人
         
          房地产中介"
互联网销售,5000-7000元,"企业客户
个人客户",经验不限,大专,天津·南开·学府,天津盛世友联科技有限公司,"民营
         
          20-99人
         
          互联网"
互联网网络销售,8000-13000元,个人客户,无经验,高中,天津·滨海新区·杭州道,珞宇(天津)教育科技有限公司,"其它
         
          20人以下
         
          互联网"
宝马品牌DCC网销专员,5000-9000元,,1-3年,大专,天津·西青·李七庄,天津源宝行汽车销售服务有限公司,"股份制企业
         
          100-299人
         
          新能源汽车"
网络订单员,3000-6000元,,经验不限,中专/中技,天津·静海·大邱庄,天津市天应泰钢管有限公司,"合资
         
          20-99人
         
          金属制品业"
销售专员,8000-16000元,"企业客户
政府客户",经验不限,大专,天津·和平·五大道,厦门佰名养老服务有限公司,"20人以下
         
          养老/孤儿/看护"
网络销售,8000-15000元,,经验不限,大专,天津·东丽·东丽湖,天津金岸科技服务有限公司,"民营
         
          20-99人
         
          培训/辅导服务"
电销专员,8000-10000元,"网络推广
网络营销
普通话流利
营销推广
朋友圈
客户资源
汽车",经验不限,中专/中技,天津·西青·李七庄,天津禹博智能网络科技有限公司,"民营
         
          500-999人
         
          汽车4S店/经销商"
再没人来面试我要回家相亲了！保底5500,1.1-1.6万,"五险一金
互联网金融
全职",无经验,学历不限,天津·南开·广开,羚羊(天津)信息咨询有限公司,"民营
         
          100-299人
         
          咨询服务"
汽车DCC网销专员（上汽大众北辰店）,5000-10000元,,1-3年,大专,天津·北辰·普东,天津市盛荣汽车销售服务有限公司,"民营
         
          20-99人
         
          汽车4S店/经销商"
汽车4s店 网销专员,5000-8000元,,3-5年,大专,天津·南开·长虹,天津鑫敏恒君华汽车销售有限公司,"民营
         
          20-99人
         
          汽车4S店/经销商"
4500底薪+高提成+五险一金 ＋销售代表,6000-10000元,"企业客户
个人客户",1-3年,大专,天津·西青·中北,天津鸿泰景润食品有限公司,"民营
         
          20-99人
         
          零售/批发"
新能源线索跟进专员,8000-15000元,"KA大客户
企业客户
个人客户",1-3年,大专,天津·津南·葛沽,天津中升汽车销售服务有限公司,"外商独资
         
          20-99人
         
          汽车研发/制造"
底薪7000，事少准时发薪的工作就差你了,9000-17000元,"个人客户
方案制定",无经验,学历不限,天津·和平·南市,天津长汇信息咨询服务有限公司,"民营
         
          100-299人
         
          企业服务"
产品销售,3000-6000元,"企业客户
个人客户",经验不限,大专,天津·西青·大寺,天津瑞浩集团有限公司,"20-99人
         
          工业自动化"
武清区招网络销售专员挑战高薪+五险+双休,4000-8000元,"跟踪回访
课程推广
课程销售
渠道销售",经验不限,学历不限,天津·武清·杨村,天津麟才教育咨询有限公司,"民营
         
          20-99人
         
          培训/辅导服务"
纯无责底薪7000/无kpi/社保/零经验也可,7000-14000元,"个人客户
电话销售
沟通能力",经验不限,学历不限,天津·和平·南市,天津长汇信息咨询服务有限公司,"民营
         
          100-299人
         
          企业服务"
汽车网销专员,4000-7000元,,经验不限,学历不限,天津·北辰·天穆,天津市津汇诚通汽车销售服务有限公司,"20-99人
         
          新能源汽车"
