职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
塘沽工农村诚聘无责保底7K+销售,7000-14000元,"电话销售
面销/陌拜",经验不限,大专,天津·滨海新区·新河,跨越速运,"民营
         
          10000人以上
         
          货运/物流/仓储"
家政顾问派单经纪人,6000-10000元,"个人客户
电话销售
网络销售",1-3年,大专,天津·河东·大王庄,天津安欣生活服务有限公司,"民营
         
          20-99人
         
          家政服务"
销售业务岗（材料贸易方向）,5000-8000元,,5-10年,本科,天津·南开·兴南,天津渤化橡胶有限责任公司,"国企
         
          1000-9999人
         
          石油/石化"
静海—双休/五险一金/下发客户资源,面议,"KA大客户
企业客户",1-3年,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
销售代表-天津（宝坻区）,5000-7000元·13薪,"快消品
食品/饮料
销售专员
渠道销售
门店销售
面销
地推销售",经验不限,大专,天津·河北·鸿顺里,奥维思,"外商独资
         
          10000人以上
         
          广告/营销"
健康水顾问,4000-8000元,"地推销售
面销/陌拜",经验不限,学历不限,天津·北辰·双街,北京和谐夕阳健康科技发展有限公司,"民营
         
          100-299人
         
          环保"
西青—双休/五险一金/下发客户资源,面议,"KA大客户
企业客户",1-3年,大专,天津·西青·中北,中国平安,"上市公司
         
          10000人以上
         
          银行"
涂料销售经理,5000-8000元,"企业客户
政府客户
渠道销售
地推销售
代理商销售",经验不限,大专,天津·东丽·军粮城,中航百慕新材料技术工程股份有限公司,"股份制企业
         
          100-299人
         
          石油/石化"
健康水顾问,4000-6000元,"地推销售
面销/陌拜
五险",经验不限,学历不限,天津·西青·大寺,北京和谐夕阳健康科技发展有限公司,"民营
         
          100-299人
         
          环保"
手机业务人员,3000-6000元,"面销/陌拜
门店销售",1-3年,大专,天津·武清·运河西,天津咏津通讯有限公司,"其它
         
          20-99人
         
          消费电子产品"
家门口的好工作＋早九晚六＋双休法休＋收入稳定＋提供良好的晋升渠道＋拒绝加班＋客户经理,面议,"销售
理赔
个人客户
KA大客户
渠道销售
门店销售",经验不限,大专,天津·滨海新区·大港,中国平安,"上市公司
         
          10000人以上
         
          银行"
字节跳动商家BD-正编,1-1.5万,"KA大客户
企业客户
面销/陌拜
地推销售
渠道销售",1-3年,大专,天津·和平·五大道,爱才集团有限公司,"民营
         
          1000-9999人
         
          人力资源服务"
无人机销售经理,1.5-2.5万,,10年以上,本科,天津·北辰·大张庄,江苏汇聚企业管理咨询有限公司,"民营
         
          100-299人
         
          咨询服务"
知识产权顾问 双休,5000-10000元,,1-3年,大专,天津·南开·万兴,企服星(天津)生产力促进有限公司,"民营
         
          20-99人
         
          咨询服务"
销售代表/接受实习生/底薪+提成/就近分配/晋升快 8,4000-5000元,"店员销售
房地产销售",经验不限,学历不限,天津·武清·东蒲洼,天津市郡利达房屋信息咨询有限公司,"民营
         
          100-299人
         
          房地产中介"
高端医疗险健康顾问,1-2万,"KA大客户
企业客户
个人客户
电话销售
网络销售
渠道销售",经验不限,学历不限,天津·南开·兴南,中国平安人寿保险股份有限公司天津分公司(兴旺团队),"10000人以上
         
          保险"
8000k/月销售专员,7000-8000元,"电话销售
代理商销售
渠道销售",经验不限,学历不限,天津·西青·大寺,天津联礼人力资源有限公司,"民营
         
          10000人以上
         
          人力资源服务"
电话销售业务员,7000-13000元,"面销/陌拜
门店销售",经验不限,学历不限,天津·武清·下朱庄,天津市郡利达房屋信息咨询有限公司,"民营
         
          100-299人
         
          房地产中介"
日用品销售专员,8000-12000元,,1-3年,大专,天津·红桥·西于庄,北京艺斯丽文化传播有限公司,"20-99人
         
          人力资源服务"
司法鉴定市场开发,5000-10000元,"面销/陌拜
电话销售",1-3年,大专,天津·河西·天塔,天津亿兆恒新科技有限公司,"民营
         
          20-99人
         
          检测/认证"
