职位,薪水,关键词,工作经验,学历,工作地点,公司,公司情况
运维工程师双休,9000-12000元,"系统运维
服务器运维
网络运维",1-3年,学历不限,天津·河北·光复道,四川嘉才驿人力资源有限公司,"20-99人
         
          人力资源服务"
IT运维,5000-7000元,"服务器运维
IDC/机房运维
数据中心1年以上",3-5年,大专,天津·北辰·西堤头,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
物流平台运行维护工程师,7000-10000元,"网络运维
数据库运维
云运维",1-3年,大专,天津·滨海新区·塘沽,日新物流(天津)有限公司,"民营
         
          20人以下
         
          货运/物流/仓储"
运维工程师双休,9000-12000元,"系统运维
服务器运维
网络运维",1-3年,学历不限,天津·和平·五大道,四川嘉才驿人力资源有限公司,"20-99人
         
          人力资源服务"
服务器运维工程师（天津武清）,5000-8000元·13薪,"IDC/机房运维
服务器运维
上下架
布线
机房巡检",1-3年,大专,天津·武清·高村,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
财务系统运维工程师1,7000-9000元·13薪,,1-3年,本科,天津·滨海新区·杭州道,普联软件股份有限公司,"上市公司
         
          1000-9999人
         
          计算机软件"
资管经理-天津,面议,,1-3年,本科,天津,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
服务器运维工程师（天津宝坻）,5000-8000元·13薪,"IDC/机房运维
服务器运维
上下架
布线
机房巡检",1-3年,大专,天津·宝坻·朝霞,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
云his运维工程师,100-125元/天,,无经验,大专,天津·滨海新区·大沽,天津争渡信息科技有限公司,"民营
         
          20-99人
         
          计算机软件"
运维工程师,1-1.2万·13薪,"服务器运维
云运维
系统运维
Kubernetes
Docker
Kafka
GoLang
Shell
C++",3-5年,本科,天津·滨海新区·杭州道,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
服务器运维工程师（天津北辰）,5000-8000元·13薪,"IDC/机房运维
服务器运维
上下架
布线
机房巡检",1-3年,大专,天津·北辰·西堤头,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
linux系统运维 双休+五险,1-1.6万,"IDC/机房运维
Nginx",1-3年,本科,天津·滨海新区·大沽,沈阳金德塑业有限公司,"合资
         
          10000人以上
         
          建筑设备安装"
云运维工程师,1-1.2万·13薪,"服务器运维
云运维
IDC/机房运维
Kubernetes
Docker
Kafka
C
GoLang
Java",3-5年,本科,天津·滨海新区·杭州道,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
运维工程师,4000-6000元,"系统运维
Nginx
Docker",1-3年,大专,天津·河北·光复道,北京华夏和安科技有限公司,"20人以下
         
          计算机软件"
运维工程师,1.2-1.3万,,经验不限,学历不限,天津·和平·小白楼,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
自动化运维工程师,1-1.2万·13薪,"云运维
系统运维
服务器运维
Kubernetes
Docker
Kafka
C
C++
GoLang",3-5年,本科,天津·南开·鼓楼,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
运维工程师,1-1.3万,,经验不限,学历不限,天津·河东·大王庄,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
运维工程师,1.2-1.4万,,经验不限,学历不限,天津·河西·越秀路,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
运维工程师,1-1.8万,系统运维,1-3年,大专,天津·和平·五大道,汕头市安尔网络科技有限公司,"300-499人
         
          互联网"
运维工程师,1-1.3万,,经验不限,学历不限,天津·南开·广开,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
运维工程师,1.2-1.4万,,经验不限,学历不限,天津·南开·兴南,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
it运维工程师（急招）,1.2-1.4万,"系统运维
服务器运维
云运维",3-5年,本科,天津·东丽·军粮城,知了育才(北京)科技有限公司,"股份制企业
         
          500-999人
         
          培训/辅导服务"
运维工程师,1-1.3万,,经验不限,学历不限,天津·河西·挂甲寺,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
运维工程师,1.2-1.3万,,经验不限,学历不限,天津·河西·越秀路,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
数据中心运维经理,1.2-1.8万,IDC/机房运维,5-10年,大专,天津·武清·大王古庄,中金数据集团有限公司,"民营
         
          100-299人
         
          IT服务"
IT运维专员,7000-8000元,,3-5年,本科,天津·滨海新区·塘沽,思睿特能源技术(天津)有限公司,"合资
         
          20人以下
         
          石油/石化"
运维工程师,1.2-1.3万,,经验不限,学历不限,天津·南开·兴南,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
运维工程师,4000-8000元,网络运维,经验不限,本科,天津·滨海新区·大沽,天津环投数字科技有限公司,"国企
         
          20-99人
         
          计算机软件"
IT系统运维担当,7000-9000元,"系统运维
服务器运维
桌面运维",1-3年,本科,天津·东丽·新立,住友重机械减速机(中国)有限公司,"外商独资
         
          500-999人
         
          金属制品业"
运维工程师,1.2-1.4万,,经验不限,学历不限,天津·和平·小白楼,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
运维工程师,6000-8000元,,3-5年,本科,天津·西青·西营门,天保人力,"国企
         
          20-99人
         
          人力资源服务"
SVG运维/技术支持工程师(J12146),7000-14000元,SVG,经验不限,本科,天津·东丽·金桥,天津瑞源电气有限公司,"民营
         
          1000-9999人
         
          电气机械/电力设备"
IT运维专员,6000-7000元,,3-5年,本科,天津·滨海新区·塘沽,思睿特能源技术(天津)有限公司,"合资
         
          20人以下
         
          石油/石化"
运维岗,4000-8000元,,1-3年,大专,天津·南开·学府,天津盛世颢瑞科技有限公司,"民营
         
          20-99人
         
          计算机硬件"
储能运维工程师（全国出差）(J12152),7000-14000元,储能,经验不限,本科,天津·东丽·金桥,天津瑞源电气有限公司,"民营
         
          1000-9999人
         
          电气机械/电力设备"
运维工程师（胡家园）,4000-6000元,"IDC/机房运维
服务器运维
网络运维",1-3年,大专,天津·滨海新区·胡家园,北方中联(天津)电子科技有限公司,"民营
         
          20-99人
         
          零售/批发"
it运维工程师,6000-8000元·13薪,,3-5年,大专,天津·宁河·造甲城,天津华友汽车零部件有限公司,"股份制企业
         
          500-999人
         
          汽车研发/制造"
信息技术运维工程师,6000-8000元,"系统运维
服务器运维
网络运维",3-5年,大专,天津·滨海新区·大沽,天津北方鸿海运达人力资源有限公司,"20人以下
         
          人力资源服务"
it运维工程师,1-1.4万,,1-3年,本科,天津·河西·桃园,江西海联人力资源有限公司,"上市公司
         
          500-999人
         
          人力资源服务"
it运维,5000-10000元,"IDC/机房运维
网络运维
系统运维",3-5年,大专,天津·武清·东蒲洼,天津万翔机械科技有限公司,"民营
         
          20-99人
         
          专用设备制造"
业务运维工程师-线损反窃电方向,8000-10000元,"数据库运维
服务器运维
Docker",3-5年,本科,天津·河西·陈塘庄,北京合众伟奇科技股份有限公司,"民营
         
          1000-9999人
         
          计算机软件"
软件运维工程师,8000-13000元,"系统运维
服务器运维",3-5年,本科,天津·武清·汊沽港,同力恒业科技(北京)有限公司,"民营
         
          100-299人
         
          电子/半导体/集成电路"
生产运维工程师（初级）,2000-4000元,"服务器运维
办公软件
生产终端",1-3年,大专,天津·宁河·芦台,吉林省国家汽车电子高新技术产业化基地有限公司,"股份制企业
         
          20-99人
         
          IT服务"
6K+高铁设备智能运维岗+上五休二,5000-9000元·13薪,"系统运维
设备运维
设备维护
设备巡检
售票机
闸机口",经验不限,高中,天津·红桥·西沽,河北高旅客运服务集团有限公司,"300-499人
         
          人力资源服务"
运维技术员(J10026),7000-8000元,IDC/机房运维,经验不限,中专/中技,天津·武清·大王古庄,中金数据集团有限公司,"民营
         
          100-299人
         
          IT服务"
生产运维工程师（中级）,5000-10000元,"服务器运维
生产终端
办公软件",3-5年,大专,天津·宁河·芦台,吉林省国家汽车电子高新技术产业化基地有限公司,"股份制企业
         
          20-99人
         
          IT服务"
it运维工程师,8000-12000元·14薪,"IDC/机房运维
系统运维",1-3年,本科,天津·滨海新区·杭州道,天津新和成材料科技有限公司,"300-499人
         
          新材料"
桌面终端运维工程师（国企外包，双休，五险一金）,4000-5000元,"系统运维
桌面运维",1-3年,本科,天津·河北·光复道,山东华科信息技术有限公司,"民营
         
          300-499人
         
          IT服务"
azure运维工程师,1.1-1.2万,Azure,3-5年,本科,天津·河西·马场,软通动力信息技术(集团)股份有限公司,"上市公司
         
          10000人以上
         
          互联网"
应用系统运维,4000-8000元,"Windows
Linux",1-3年,大专,天津·河东·大王庄,秦皇岛晨砻信息科技有限公司,"其它
         
          100-299人
         
          计算机软件"
运维工程师-营销采集方向,8000-10000元,"系统运维
数据库运维
Docker",3-5年,大专,天津·河西·陈塘庄,北京合众伟奇科技股份有限公司,"民营
         
          1000-9999人
         
          计算机软件"
运维工程师,8000-10000元,"系统运维
网络运维
服务器运维
LINUX/UNIX
MYSQL、REDIS
Nginx
Python",1-3年,大专,天津·西青·张家窝,天津汇聚人力资源服务有限公司,"民营
         
          100-299人
         
          咨询服务"
测试运维工程师3,7000-10000元,"网络通讯协议
SQL SEVER
Python",1-3年,本科,天津·南开·嘉陵道,英业达集团(天津)电子技术有限公司,"外商独资
         
          100-299人
         
          计算机软件"
天津现场运维专员,4000-6000元,系统运维,1-3年,中专/中技,天津·滨海新区·塘沽,嘉迪伟智(北京)科技有限公司,"民营
         
          20-99人
         
          IT服务"
计算机运维工程师,6000-10000元,"PROMETHEUS、
LINUX/UNIX",1-3年,大专,天津·西青·张家窝,天津汇聚人力资源服务有限公司,"民营
         
          100-299人
         
          咨询服务"
测试运维工程师,7000-10000元,"MES
系统运维及实施
Python",1-3年,本科,天津·南开·嘉陵道,英业达集团(天津)电子技术有限公司,"外商独资
         
          100-299人
         
          计算机软件"
数据中心运维工程师*武清,6000-7000元,IDC/机房运维,1-3年,高中,天津·武清·东蒲洼,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
现场运维专员(滨海新区),4000-6000元,"系统运维
网络运维
桌面运维",1-3年,大专,天津·滨海新区·杭州道,天津振泰科技有限公司,"民营
         
          100-299人
         
          IT服务"
招聘助理岗运维环保测试技术工程师,4000-8000元,"IDC/机房运维
系统运维
服务器运维
Nginx
Tomcat
Kubernetes
Python
Java
GoLang",经验不限,本科,天津·宁河·东棘坨,北京新桐环保工程有限公司,"20-99人
         
          环保"
linux系统运维工程师,7000-12000元,"系统运维
网络运维
服务器运维",3-5年,本科,天津·南开·嘉陵道,英业达集团(天津)电子技术有限公司,"外商独资
         
          100-299人
         
          计算机软件"
软件运维工程师（天津）,6000-12000元,"系统运维
软件运维
Java
Nginx
数据运维
SPRINGBOOT
常见数据库
日常中间件",3-5年,本科,天津·南开·广开,北京侏罗纪信息科技有限公司,"民营
         
          20-99人
         
          计算机软件"
idc运维工程师,6000-7000元,"IDC/机房运维
服务器运维
数据中心
故障排查",1-3年,大专,天津·武清·大王古庄,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
运维工程师,4000-6000元,,经验不限,大专,天津·南开·王顶堤,嘉环科技股份有限公司,"民营
         
          10000人以上
         
          通信/网络设备"
运维工程师(J10746),1-1.2万,"系统运维
数据库运维
Docker
Kubernetes
Shell",3-5年,本科,天津·西青·中北,天津安捷物联科技股份有限公司,"民营
         
          500-999人
         
          电力/水利/热力/燃气"
光伏电站运维工程师,5000-8000元,"机电
电气
发电厂
轨道交通
计算机
电气自动化",经验不限,大专,天津·河东·春华,河北高旅客运服务集团有限公司,"100-299人
         
          人力资源服务"
运维工程师,8000-12000元,"系统运维
服务器运维
云运维",1年以下,本科,天津·南开·向阳路,燧浦(上海)智能科技有限公司,"20-99人
         
          人工智能"
it运维工程师,4000-6000元·13薪,,1-3年,本科,天津·东丽·新立,中智包物流科技(天津)有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
运维工程师,6000-8000元,"系统运维
服务器运维
云运维",经验不限,本科,天津·津南·辛庄,天津市艾科玉医科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
运维工程师,7000-12000元,"系统运维
Docker
K8",3-5年,本科,天津·河北·鸿顺里,天津公交易通科技有限公司,"国企
         
          100-299人
         
          IT服务"
光伏电站运维工程师,5000-8000元,"机电
发电场
换电站
轨道交通
电力",经验不限,大专,天津·滨海新区·大沽,河北高旅客运服务集团有限公司,"100-299人
         
          人力资源服务"
