职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
电话销售业务员,4000-8000元,,经验不限,学历不限,合肥·蜀山·笔架山,上海泽兑认证有限公司,"民营
         
          20-99人
         
          检测/认证"
机械装配,7000-10000元,,3-5年,学历不限,泉州·洛江区·万安街道,泉州华大,"民营
         
          100-299人
         
          电气机械/电力设备"
质量主管,1-1.5万,"汽车行业质量管理体系
QC
QA
QE",3-5年,本科,重庆·铜梁·东城,重庆三友机器制造有限责任公司,"1000-9999人
         
          专用设备制造"
员工食堂帮厨,3000-4000元,"食堂
切配工
打荷工
包吃包住
员工食堂帮厨",1-3年,学历不限,长春·宽城·兴隆山,中农众联(吉林)生态农业科技有限公司,"民营
         
          20-99人
         
          农/林/牧/渔"
诚聘普工/操作工 交通补助 包吃,6000-7000元,"普工
月结
长白班",经验不限,学历不限,烟台·莱山·初家,山东昊展人力资源有限公司,"其它
         
          1000-9999人
         
          人力资源服务"
轻松配送，日薪320，无压力区域，月结过万+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,南宁·青秀·新竹,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
外贸业务员,5000-10000元,"阿里巴巴国际站
Facebook
WhatsApp
英语
阿拉伯语
俄语
中东区域
东南亚区域
中亚地区
小语种
小满系统
外贸经验",1-3年,大专,佛山·禅城·张槎,佛山市美阳甄选进出口贸易有限公司,"民营
         
          20-99人
         
          装饰装修"
审计,1-1.3万,内部审计,5-10年,大专,泉州·惠安县·张坂镇,舒华体育股份有限公司,"上市公司
         
          1000-9999人
         
          文化艺术/娱乐"
新媒体运营专员,5000-7000元,"短视频平台
抖音
小红书
美团
大众点评",1-3年,大专,常州·钟楼·西林,常州德威威尼斯大酒店有限公司,"民营
         
          100-299人
         
          餐饮服务"
机械工程师,1-2万,"非标设备
自动化设备
精密设备
AutoCAD
SolidWorks
焊接工艺
装配工艺
钣金工艺",5-10年,本科,重庆·九龙坡·陶家,盛尔信科技(重庆)有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
哈市车企好岗日薪210/天，下班开支通班车,6000-7000元,"厂内食堂
恒温车间
两班倒
做六休一
月休四天
日结",经验不限,学历不限,长春·朝阳·湖西,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
BMC测试,1.5-3万·16薪,EMC测试,5-10年,本科,郑州·金水·祭城路,超聚变数字技术有限公司,"股份制企业
         
          1000-9999人
         
          计算机硬件"
