职位,薪水,经验,学历,关键词,工作地址
呼吸内科医师,1.3-1.8万,5-10年,本科,"一、工作要求
能处理日常诊疗工作，并指导科室工作及发展
二、任职要求
1. 统招本科及以上学历；
2. 具有副高及以上职称；
3. 熟悉医疗行业相关法律法规及医疗行业专业法规
4. 良好的职业道德素质和团队精神；
三、福利待遇
1、购买五险一金
2、提供工作餐","工作地点
兰州榆中县定远高新区国家生物医药产业基地
查看地图"
西医内科医生,2-2.8万,经验不限,学历不限,"岗位内容：
1. 为内科患者提供全面的医疗服务，负责制定和实施治疗方案。
2. 协调医院各科室的医疗资源，确保患者得到最佳的治疗和护理。
3. 参与或主持内部和外部培训课程，提高自身专业技能和知识水平。
4. 遵循医疗伦理规范，秉承服务理念，保障患者权益。
任职要求：
1. 具有医学相关专业学位。
2. 具备一定的内科医学知识背景和工作经验。
3. 具有良好的沟通、组织协调和团队合作能力。
4. 积极、主动，能够承受工作压力。","工作地点
南通市-通州区-先锋街道宏俊批发超市东58米
查看地图"
西医内科医生,1.2-2.4万·13薪,5-10年,本科,"1.有执业医师资格证书
2.有相关工作经验 诊所或医院
3.有责任心 看好每一位来的患者
4.拥有西医内科执业医师证 最好5年以上","工作地点
吉林省长春市南关区南环城路5649号
查看地图"
内科医生,9000-12000元·13薪,3-5年,本科,"1.在医护部经理的领导下，认真执行各项规章制度和技术操作规范，负责制定床位的医疗保健工作；
2.负责书写老人“入院记录”（病例）、新入院老人的“入院记录”及“入住老人身体状况评估表”。各种医疗文件书写都要符合规定的要求；
3.按时查房，每日至少1次；查房时应认真仔细进行检查，密切观察病情变化，检查医嘱执行情况；
4.院领导查房时，应详细汇报老人情况；对院领导意见要严格执行；
5.征求老人对医疗工作的意见，有针对性地做好老人思想工作；
6.因老人出院（包括转院）及时填写“老人出院手续流转表”及完成“出院小结”；
7.认真学习，刻苦钻研业务技术，积极参加各种业务学习；
8.完成院领导安排的其他工作。","工作地点
深圳光明区社会福利院
查看地图"
内科医生,7000-14000元,5-10年,大专,"1、对病员进行检查、诊断、治疗，开写医嘱并检查其执
行情况。
2、定期巡视患者，处理医疗问题。
3、及时书写病历，并负责病员住院期间的病程记录，及时完成结案病员病案小结。
4、有内科或全科医师执业医师资格(有处方权)，证件齐全可注册变更。","工作地点
芜湖湾沚区俞林路与永泰路交叉口东南200米
查看地图"
总检医生/内科医生,1-2万,5-10年,本科,"岗位内容：
1. 制定和执行内科患者的治疗计划，监测疾病进展并进行适当的调整。
2. 诊断和治疗各种疾病，包括但不限于高血压、糖尿病、心脏病等。
3. 审查患者的病历、检查结果和其他相关信息，做出正确的医疗决策。
4. 提供长期护理以及治疗建议给需要的患者，并根据需要转介至其他医生或专业人员。
任职要求：
1. 副主任医师以上，通过国家医师资格考试。
2. 经验丰富，有三甲医院工作经历，至少从事内科医疗工作5年以上。
3. 熟练掌握内科以及相关领域的医学知识和技能。
4. 具备良好的沟通和团队合作能力。","工作地点
太原清徐县山西正一康生物科技有限公司
查看地图"
内科执业医师,1.3-2.1万,3-5年,大专,"岗位内容：
1. 为内科患者提供全面的医疗服务，负责制定和实施治疗方案。
2. 协调医院各科室的医疗资源，确保患者得到最佳的治疗和护理。
3. 参与或主持内部和外部培训课程，提高自身专业技能和知识水平。
4. 遵循医疗伦理规范，秉承服务理念，保障患者权益。
任职要求：
1. 具有医学相关专业学位。
2. 具备一定的内科医学知识背景和工作经验。
3. 具有良好的沟通、组织协调和团队合作能力。
4. 积极、主动，能够承受工作压力。","工作地点
南通海门区包场镇19-705
查看地图"
西医内科医生,1-1.5万,3-5年,大专,工作内容：负责门诊接诊、体检、治疗等临床工作。  任职要求：  1、专科及以上学历，医学相关专业，具备医师资格证，有综合性医院和或者门诊工作经历； 可注册  2、医学基础扎实，临床经验丰富，身体健康；  3、责任心强，有良好的沟通能力及服务意识。  工作时间：8:00---17:00 周休一天    待遇：保底 面议。,"工作地点
长春朝阳区华润·凯旋门A16栋
查看地图"
内科医生,4000-6000元,3-5年,本科,"岗位内容：
1. 制定和执行内科患者的治疗计划，监测疾病进展并进行适当的调整。
2. 诊断和治疗各种疾病，包括但不限于高血压、糖尿病、心脏病等。
3. 审查患者的病历、检查结果和其他相关信息，做出正确的医疗决策。
4. 提供长期护理以及治疗建议给需要的患者，并根据需要转介至其他医生或专业人员。
任职要求：
1. 医学专业，通过国家医师资格考试。
2. 经验丰富，至少从事内科医疗工作5年以上。
3. 熟练掌握内科以及相关领域的医学知识和技能。
4. 具备良好的沟通和团队合作能力。","工作地点
辽宁省沈阳市大东区东塔街道地坛街27号(龙之梦对面)大东区善恒居家养老服务中心沈阳市大东区地坛街27号
查看地图"
松江急招！学校医务室退休医生,8000-9000元,10年以上,大专,"工作职责：
1.根据医务室规定和流程落实日常工作；
2.开展学生和教职工常见病和多发病的防治工作，发现流行病或流传期间，要及时记录上报并深入班级做好消毒工作；
3.关爱学生，了解和掌握在校学生的健康状况，做好学生的健康信息记录；
4.协助校方人员，做好学校各类大型活动现场的医疗应急工作；
5.配合政府卫生部门落实学校卫生防疫、疾病防控等工作，做好记录并及时归档；
6.负责学生医疗保险的办理与理赔工作；
7.定期进行食堂卫生的检查、健康培训和宣教工作。
任职要求:
1.大专以上学历，临床医学专业，持内科/全科医师证,可注册；
2.有10年、二级甲等以上医院急诊、儿科和门诊临床工作经验，有中小学校医疗健康工作经验优先考虑；
3.品行端正、有责任心、爱心，沟通能力较好；
4.欢迎退休人员前来应聘。
工作时间：5天*8小时工作制
薪资标准：8000-8500元/月
福利：另提供班车（地铁4、4、9号线宜山路、1号线莘庄有班车站点）、餐补，寒暑假备班状态","工作地点
上海松江区松江大学城
查看地图"
