职位,关键词,薪水,工作经验,学历,工作地址,公司,公司情况
功能测试（民生租赁）(J14840),"功能测试
性能测试
自动化测试
Postman
Fiddler
Jmeter",1-1.2万,3-5年,本科,天津·东丽·华明,先进数通,"股份制企业
         
          1000-9999人
         
          IT服务"
adas测试工程师 天津,"ADAS测试
智能驾驶系统",8000-12000元,1-3年,本科,天津·西青·张家窝,四川达麦企业管理有限公司,"民营
         
          500-999人
         
          企业服务"
测试工程师,"通信测试
安全测试
硬件测试
Python
C
C#
Selenium
Fiddler
禅道",1.2-1.4万·13薪,3-5年,本科,天津·南开·鼓楼,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
大数据测试工程师,"软件测试
Java",1-1.5万,3-5年,本科,天津·滨海新区·大沽,沈阳金德塑业有限公司,"合资
         
          10000人以上
         
          建筑设备安装"
系统测试工程师（双休+五险）,"软件测试
硬件测试
系统测试
Java
Javascript
Python
Postman
JIRA
禅道",1-1.4万,1-3年,本科,天津·河北·光复道,四川允升鸣谦企业管理有限公司,"民营
         
          100-299人
         
          人力资源服务"
测试工程师,"通信测试
性能测试
自动化测试
Python
C
Shell
Selenium
Jmeter
Fiddler",1.2-1.4万·13薪,1-3年,本科,天津·滨海新区·杭州道,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
电器测试工程师,"软件测试
硬件测试
系统测试",8000-16000元,3-5年,本科,天津·武清·大王古庄,安闻科技集团股份有限公司,"民营
         
          1000-9999人
         
          汽车研发/制造"
数据中心暖通测试工程师,"环境监测
数据中心
机房",5000-8000元,1-3年,学历不限,天津·西青·精武镇,天津方隅技术咨询服务有限公司,"民营
         
          20人以下
         
          专业技术服务"
服务器测试工程师（天津华勤）,"自动化测试
SIT/BMC/BIOS",1.2-1.5万,3-5年,大专,天津·东丽·华明,常州科睿达信息科技有限公司,"民营
         
          100-299人
         
          IT服务"
测试工程师,"功能测试
网络测试
软件测试
硬件测试",6000-8000元,1-3年,大专,天津·南开·精武镇,天津锐敏科技发展有限责任公司,"民营
         
          20-99人
         
          计算机软件"
实验室测试工程师（系统管理及信号分析）,"SPE
Python
C++
通信测试
系统测试",面议,3-5年,本科,天津·武清·东蒲洼,万可电子（天津）有限公司,"外商独资
         
          1000-9999人
         
          仪器仪表制造"
测试工程师,"软件测试
硬件测试
仪器测试",8000-15000元,3-5年,大专,天津·滨海新区·杭州道,一飞智控(天津)科技有限公司,"民营
         
          100-299人
         
          船舶/航空/航天/火车制造"
系统集成测试工程师（专用）,,6000-10000元,3-5年,本科,天津·东丽·华明,北京理工雷科电子信息技术有限公司,"上市公司
         
          500-999人
         
          电子/半导体/集成电路"
实验室测试工程师（仪器设备管理）,"硬件测试
功能测试
材料测试",面议,5-10年,本科,天津·武清·东蒲洼,万可电子（天津）有限公司,"外商独资
         
          1000-9999人
         
          仪器仪表制造"
协议测试工程师,"协议测试
APP应用测试
Fiddler
禅道
JIRA
逆向分析加分
网络协议
网络流量分析",1-1.5万,3-5年,学历不限,天津·西青·西营门,天津星瞳智网科技有限责任公司,"股份制企业
         
          20-99人
         
          互联网"
质量工程师,,8000-15000元,3-5年,本科,天津·武清·东蒲洼,三英精控(天津)仪器设备有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
测试,"软件测试
自动化测试",8000-13000元,1-3年,本科,天津·西青·精武镇,北京运华科技发展有限公司,"民营
         
          100-299人
         
          计算机软件"
产品性能测试助理,"硬件测试
材料测试
车载测试",130-150元/天,无经验,本科,天津·西青·大寺,广电计量检测(天津)有限公司,"国企
         
          1000-9999人
         
          检测/认证"
高级电化学测试工程师(A129653),"电化学
仿真
电解槽
膜电极",2-4万,5-10年,硕士,天津·津南·双港,天津费曼动力科技有限公司,"合资
         
          20-99人
         
          新能源"
测试工程师,功能测试,1.2-1.5万,1年以下,本科,天津·滨海新区·杭州道,沈阳金德新型管业有限公司,"合资
         
          10000人以上
         
          房地产开发"
测试/验证工程师,,6000-10000元,1-3年,本科,天津·静海·双塘,天津市威曼生物材料有限公司,"民营
         
          100-299人
         
          医疗设备/器械"
测试人员,"性能测试
功能测试
系统测试
无",3000-4000元,经验不限,大专,天津·东丽·军粮城,北京东方锐镭科技有限公司,"国企
         
          100-299人
         
          电子设备制造"
Basic Test Engineer,,面议,3-5年,本科,天津·东丽·金桥,空中客车(中国)企业管理服务有限公司,"外商独资
         
          1000-9999人
         
          船舶/航空/航天/火车制造"
高级测试工程师,软件测试,9000-12000元,5-10年,本科,天津·东丽·华明,北京晶安信达科技有限公司,"民营
         
          20人以下
         
          IT服务"
试验工程师,"性能测试
安全测试
力学测试",1-2万·13薪,3-5年,本科,天津·宁河·造甲城,天津凌云翼航空装备有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
测试工程师,"自动化测试
性能测试
功能测试",8000-12000元,1年以下,本科,天津·南开·向阳路,燧浦(上海)智能科技有限公司,"20-99人
         
          人工智能"
试验工程师,"性能测试
功能测试
安全测试",6000-8000元,1-3年,大专,天津·静海·良王庄,德安福(天津)汽车技术有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
中级系统测试工程师,"XMind
Xcode
ADB
Fiddler
Jmeter",8000-10000元,3-5年,本科,天津·东丽·华明,苏州人瑞普惠人力资源服务有限公司,"上市公司
         
          20-99人
         
          互联网"
测试（保险，半年周期）,软件测试,1-1.1万,3-5年,本科,天津·和平·五大道,北京青钱信息技术有限公司,"民营
         
          500-999人
         
          计算机软件"
试验工程师（实习生/应届生）,"功能测试
系统测试
安全测试",4000-6000元,无经验,大专,天津·静海·良王庄,德安福(天津)汽车技术有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
智能业务流程测试工程师,,8000-12000元,3-5年,本科,天津·河西·挂甲寺,云脉三六五,"民营
         
          20-99人
         
          IT服务"
产品测试工程师,"性能测试
功能测试
硬件测试",5000-7000元,1-3年,大专,天津·津南·双港,天津瞭望光电科技有限公司,"民营
         
          100-299人
         
          电子设备制造"
labview工程师（传动测试台）,"labview
LABVIEW开发
测试台设计开发",8000-15000元,3-5年,本科,天津·武清·东蒲洼,天津清润博智能科技有限公司北京分公司,"民营
         
          100-299人
         
          船舶/航空/航天/火车制造"
AI应用测试与运营专员,,8000-12000元,1-3年,本科,天津·河西·挂甲寺,云脉三六五,"民营
         
          20-99人
         
          IT服务"
测试工程师,,8000-12000元,1-3年,本科,天津·津南·咸水沽,北京微视新纪元科技有限公司,"民营
         
          100-299人
         
          计算机软件"
试验工程师,"硬件测试
性能测试
功能测试
安规",1-1.5万,3-5年,硕士,天津·东丽·军粮城,突破电气,"民营
         
          100-299人
         
          通信/网络设备"
试验实习生,,100-180元/天,无经验,本科,天津·西青·张家窝,北京润科通用技术有限公司,"民营
         
          500-999人
         
          电子设备制造"
测试分析维修工程师,,6000-8000元,3-5年,大专,天津·武清·梅厂,振而达（天津）科技发展有限公司,"民营
         
          100-299人
         
          计算机软件"
测试工程师（试验设备）,"仪器测试
材料测试
试验机",5000-10000元,1-3年,大专,天津·津南·双港,凯尔测控试验系统(天津)有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
测试工程师,软件测试,8000-13000元,3-5年,本科,天津·和平·劝业场,天津鹰眼智能科技有限公司,"民营
         
          100-299人
         
          人工智能"
测试工程师（整机部件方向）,"硬件测试
性能测试
功能测试
Python",1-2万,3-5年,本科,天津·东丽·军粮城,天津飞马机器人科技有限公司,"民营
         
          300-499人
         
          人工智能"
测试工程技术员,"软件测试
功能测试
性能测试",4000-6000元,经验不限,中专/中技,天津·武清·梅厂,振而达（天津）科技发展有限公司,"民营
         
          100-299人
         
          计算机软件"
模拟机测试工程师Simulator Test Engineer,"软件测试
硬件测试
系统测试",8000-12000元,3-5年,本科,天津·东丽·华明,天津市克兰鹰航空科技有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
测试工程师（综合测试方向),"飞机性能测试
动力性能
气动性能
整机测试环境",1-2万,3-5年,本科,天津·东丽·军粮城,天津飞马机器人科技有限公司,"民营
         
          300-499人
         
          人工智能"
测试工程师,硬件测试,5000-8000元,1-3年,本科,天津·武清·梅厂,振而达（天津）科技发展有限公司,"民营
         
          100-299人
         
          计算机软件"
试验工程师,,1-1.5万,3-5年,本科,天津·津南·小站,天津经纬正能电气设备有限公司,"合资
         
          500-999人
         
          电气机械/电力设备"
试验工程师,,1-1.3万,3-5年,本科,天津·东丽·军粮城,突破电气,"民营
         
          100-299人
         
          通信/网络设备"
