职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
AR客户经理（家禽/家畜方向）,6000-10000元,"渠道销售
代理商销售
会开车
可接受全国出差",经验不限,本科,天津·东丽·华明,瑞普生物,"上市公司
         
          1000-9999人
         
          医药制造"
ka大客户经理 周末双休 待遇好,8000-11000元,全职,经验不限,大专,天津·河东·春华,大连市众焱人力资源管理有限公司,"其它
         
          20-99人
         
          人力资源服务"
海运销售/大客户代表（可出差海外）,1.5-2.5万,英语优秀,经验不限,大专,天津·河东·大王庄,深圳市联合物流发展有限公司,"民营
         
          100-299人
         
          货运/物流/仓储"
宠物行业大客户经理（饲料添加剂方向）,1.1-2万,"渠道销售
宠物营养
饲料添加剂",3-5年,本科,天津·东丽·华明,瑞普生物,"上市公司
         
          1000-9999人
         
          医药制造"
ka大客户销售（弱电/智能化/工业品）,1.1-1.6万·13薪,"渠道销售
面销/陌拜
区域销售",1-3年,大专,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
大客户经理,6000-10000元,大客户经理,5-10年,学历不限,天津·静海·良王庄,圣戈尔彩麟(天津)建材科技有限公司,"民营
         
          100-299人
         
          金属制品业"
医院行业客户总监(二大区）,1.5-3万,区域销售,1-3年,大专,天津·和平·小白楼,泰康养老保险股份有限公司天津分公司,"民营
         
          100-299人
         
          保险"
行业销售（天津 政府/教育/电力能源/企业）,1.5-2万,"存储、服务器、超融合
政府行业、教育行业
企业行业大客户",5-10年,大专,天津·和平·小白楼,宏杉科技,"民营
         
          500-999人
         
          通信/网络设备"
客户销售经理（阀门）,8000-15000元,"阀门销售
仪表销售
流体
过程控制
调节阀",3-5年,大专,天津·南开·万兴,维特瑞控制工程技术(北京)有限公司,"外商独资
         
          100-299人
         
          仪器仪表制造"
客户总监（医院行业）,1.5-3万,渠道销售,3-5年,大专,天津·和平·小白楼,泰康养老保险股份有限公司天津分公司,"民营
         
          100-299人
         
          保险"
大客户销售经理,1.2-2.4万,,3-5年,大专,天津·津南·八里台,天津海派特环保科技有限公司,"民营
         
          20人以下
         
          环保"
大客户销售-天津,1-1.5万·13薪,"直销
TO B
面销/陌拜",3-5年,大专,天津·河西·大营门,富士胶片实业发展(上海)有限公司,"外商独资
         
          1000-9999人
         
          计算机硬件"
美团酒店民宿-高星业务助理,面议,,1年以下,本科,天津,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
营销主管-天津,8000-15000元,"区域销售
大客户销售",3-5年,本科,天津·河西·马场,四川赛康智能科技股份有限公司,"民营
         
          100-299人
         
          计算机软件"
建筑铝模板销售（五险一金+行业top+不坐班）,1-1.5万,"建筑铝模板销售
总包单位开发
地产工程建材销售
面销/陌拜",1-3年,中专/中技,天津·河西·尖山,河南天利成铝模科技有限公司,"其它
         
          1000-9999人
         
          金属制品业"
美团骑行-校园大客户经理（河北、天津）,面议,,1-3年,本科,天津·和平·南营门,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
ka大客户销售经理（弱电/智能化/工业品）,1.1-1.6万,"渠道销售
综合布线/弱电/监控
LED/机房/存储/服务器
电线电缆
监控/楼宇自控/数据中心
天地伟业/海康/大华",1-3年,大专,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
乳品原料--餐饮渠道--销售经理,1-1.5万,"区域销售
淡奶油
奶酪
黄油",3-5年,大专,天津·滨海新区·杭州道,北京银河路经贸有限公司,"民营
         
          20-99人
         
          贸易/进出口"
餐饮SaaS-大客户销售（京津冀）,面议,,1-3年,大专,天津,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
ka大客户销售,5000-10000元,区域销售,3-5年,大专,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
大客户销售（北上广深沿海城市）,1-2万,"渠道销售
大客户（KA）
区域销售
食品/饮料
餐饮业",5-10年,大专,天津·红桥·西沽,正大集团,"外商独资
         
          10000人以上
         
          农/林/牧/渔"
重点客户业务代表/重客业务管理,4000-8000元,渠道销售,1-3年,大专,天津·河西·马场,华彬快速消费品投资管理有限公司,"外商独资
         
          1000-9999人
         
          快速消费品"
销售经理(电线电缆/综合布线/安防弱电/监控/数据中心/楼宇,1.5-2.5万,"渠道销售
区域销售
代理商销售
建材销售
电线线缆",1-3年,大专,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
大客户销售-天津,1-1.5万,"面销/陌拜
MRO
制造业",1-3年,大专,天津·津南·小站,鑫方盛数智科技股份有限公司,"民营
         
          1000-9999人
         
          零售/批发"
客户服务(J33681),5000-8000元,,无经验,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
大客户代表,8000-15000元,面销/陌拜,1-3年,大专,天津·和平·五大道,北京梵蒙智品服装科技有限公司,"民营
         
          20-99人
         
          零售/批发"
大客户销售,5000-8000元,,经验不限,大专,天津·东丽·丰年村,红豆集团有限公司,"民营
         
          10000人以上
         
          服装/纺织/皮革"
EPC BD,1.8-2.3万,"EPC
电力
高压产品
外贸/进出口",3-5年,本科,天津·东丽·军粮城,帕尔普线路器材有限公司,"外商独资
         
          100-299人
         
          金属制品业"
烘焙配料销售经理,1.2-2.3万,"食品/饮料
外贸/进出口",3-5年,大专,天津·西青·西营门,中食汇联(天津)科技有限公司,"民营
         
          20-99人
         
          贸易/进出口"
销售（最美二娘）,5000-10000元,"渠道销售
区域销售
面销/陌拜",1-3年,大专,天津·河东·大王庄,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
业务员,5000-10000元·13薪,面销/陌拜,经验不限,大专,天津·北辰·双街,永丰余纸业(天津)有限公司,"外商独资
         
          100-299人
         
          印刷/包装/造纸"
电缆附件-大客户销售,6000-12000元,"渠道销售
面销/陌拜",5-10年,大专,天津·河北·光复道,永锦电容器有限公司,"股份制企业
         
          100-299人
         
          电气机械/电力设备"
业务经理(弱电安防/智能建筑行业-五险一金）底薪8-15k,1-2万,"区域销售
代理商销售
LED/机房/存储
监控/楼宇自控
电线电缆/综合布线",1-3年,本科,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
大客户销售（双休，地铁附近，不加班）,4000-8000元,,1-3年,大专,天津·北辰·双街,天津市汇信燃气设备有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
客户销售经理,8000-16000元,,3-5年,大专,天津·滨海新区·杭州道,一飞智控(天津)科技有限公司,"民营
         
          100-299人
         
          船舶/航空/航天/火车制造"
大客户销售经理,1.5-2万,"渠道销售
面销/陌拜
区域销售",10年以上,大专,天津·河西·下瓦房,埃克美迅(江苏)流体控制系统有限公司,"外商独资
         
          100-299人
         
          通用设备制造"
大客户销售,7000-9000元,"B端市场开发经验
商务谈判技巧
较多出差",1-3年,大专,天津·西青·杨柳青,鲲鹏神农制药设备(天津)有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
saas软件销售/六险一金,8000-12000元,"面销/陌拜
会议/会展销售",3-5年,大专,天津·南开·向阳路,天津增鑫科技有限公司,"民营
         
          20-99人
         
          互联网"
劳务经理,1-1.5万,"市场营销
市场推广
市场策划",3-5年,大专,天津·东丽·华明,天津海诚企业管理有限公司,"民营
         
          20-99人
         
          人力资源服务"
B端销售经理 双休,7000-14000元,TOB,3-5年,大专,天津·滨海新区·杭州道,天津市联众伟业劳务派遣有限公司,"民营
         
          100-299人
         
          人力资源服务"
售前销售顾问,6000-12000元,"渠道销售
面销/陌拜
区域销售",经验不限,大专,天津·西青·张家窝,天津世纪鼎机械科技有限公司,"20-99人
         
          电气机械/电力设备"
团购经理/主任,1-1.5万,,5-10年,大专,天津·津南·咸水沽,四川沱牌舍得营销有限公司,"上市公司
         
          1000-9999人
         
          快速消费品"
软件销售代表,6000-10000元,"面销/陌拜
区域销售",1-3年,大专,天津·河西·友谊路,天津数沃科技有限公司,"民营
         
          20-99人
         
          计算机软件"
大客户销售（电力电子）,8000-15000元,,3-5年,大专,天津·河西·下瓦房,北京英博电气股份有限公司,"合资
         
          500-999人
         
          电力/水利/热力/燃气"
客户经理,9000-10000元,大客户销售,经验不限,本科,天津·武清·大王古庄,北京继泽科技有限公司,"民营
         
          20-99人
         
          专业技术服务"
大客户经理（政府关系）,5000-10000元,面销/陌拜,3-5年,大专,天津·河东·大王庄,天津滨德招标代理有限公司,"民营
         
          20-99人
         
          咨询服务"
客户经理（港口）,8000-16000元,,1-3年,大专,天津·河东·春华,江西众加利高科技股份有限公司,"上市公司
         
          100-299人
         
          电气机械/电力设备"
b端大客户销售（固定六日双休）,6000-12000元,"代理商销售
渠道销售
ERP系统
服务器
一体机",1-3年,本科,天津·西青·精武镇,天津硕讯科技有限公司河北分公司,"民营
         
          100-299人
         
          计算机硬件"
集团大客户经理（北部地区）,1-2万,"面销/陌拜
区域销售
添加剂销售经验
集团客户资源",经验不限,硕士,天津·蓟州·上仓,北京挑战农业科技有限公司,"股份制企业
         
          500-999人
         
          农/林/牧/渔"
