专业名称,学科门类,专业类,专业代码
哲学,哲学,哲学类,10101
逻辑学,哲学,哲学类,10102
宗教学,哲学,哲学类,010103K
伦理学,哲学,哲学类,010104T
经济学,经济学,经济学类,20101
经济统计学,经济学,经济学类,20102
国民经济管理,经济学,经济学类,020103T
资源与环境经济学,经济学,经济学类,020104T
商务经济学,经济学,经济学类,020105T
能源经济,经济学,经济学类,020106T
劳动经济学,经济学,经济学类,020107T
经济工程,经济学,经济学类,020108T
数字经济,经济学,经济学类,020109T
财政学,经济学,财政学类,020201K
税收学,经济学,财政学类,20202
国际税收,经济学,财政学类,020203TK
金融学,经济学,金融学类,020301K
金融工程,经济学,金融学类,20302
保险学,经济学,金融学类,20303
投资学,经济学,金融学类,20304
金融数学,经济学,金融学类,020305T
信用管理（注：可授经济学或管理学学士学位）,经济学,金融学类,020306T
经济与金融,经济学,金融学类,020307T
精算学（注：可授经济学或理学学士学位）,经济学,金融学类,020308T
互联网金融,经济学,金融学类,020309T
金融科技,经济学,金融学类,020310T
金融审计,经济学,金融学类,020311TK
国际经济与贸易,经济学,经济与贸易类,20401
贸易经济,经济学,经济与贸易类,20402
国际经济发展合作,经济学,经济与贸易类,020403T
法学,法学,法学类,030101K
知识产权,法学,法学类,030102T
监狱学,法学,法学类,030103T
信用风险管理与法律防控,法学,法学类,030104T
国际经贸规则,法学,法学类,030105T
司法警察学,法学,法学类,030106TK
社区矫正,法学,法学类,030107TK
纪检监察,法学,法学类,030108TK
国际法,法学,法学类,030109TK
司法鉴定学,法学,法学类,030110TK
国家安全学,法学,法学类,030111TK
海外利益安全,法学,法学类,030112TK
政治学与行政学,法学,政治学类,30201
国际政治,法学,政治学类,30202
外交学,法学,政治学类,30203
国际事务与国际关系,法学,政治学类,030204T
政治学、经济学与哲学,法学,政治学类,030205T
国际组织与全球治理,法学,政治学类,030206TK
社会学,法学,社会学类,30301
社会工作,法学,社会学类,30302
人类学,法学,社会学类,030303T
女性学,法学,社会学类,030304T
家政学,法学,社会学类,030305T
老年学,法学,社会学类,030306T
